As art ini=cap cap=maxmin simb=alpha prevW=null prevT=null prevCap=null nextW=taxas nextT=n nextCap=min prev2W=null prev2T=null prev2Cap=null next2W=custam next2T=v-fin next2Cap=min palpite=O
e conj-c ini=ncap cap=min simb=alpha prevW=municipal prevT=adj prevCap=min nextW=agente nextT=n nextCap=min prev2W=?o prev2T=n prev2Cap=null next2W=censit next2T=n next2Cap=min palpite=O
agente n ini=ncap cap=min simb=alpha prevW=e prevT=conj-c prevCap=min nextW=censit nextT=n nextCap=min prev2W=municipal prev2T=adj prev2Cap=min next2W=?o next2T=n next2Cap=null palpite=O
censit n ini=ncap cap=min simb=alpha prevW=agente prevT=n prevCap=min nextW=?o nextT=n nextCap=null prev2W=e prev2T=conj-c prev2Cap=min next2W=supervisor next2T=n next2Cap=min palpite=O
?o n ini=simb cap=null simb=null prevW=censit prevT=n prevCap=min nextW=supervisor nextT=n nextCap=min prev2W=agente prev2T=n prev2Cap=min next2W=) next2T=punc next2Cap=null palpite=O
supervisor n ini=ncap cap=min simb=alpha prevW=?o prevT=n prevCap=null nextW=) nextT=punc nextCap=null prev2W=censit prev2T=n prev2Cap=min next2W=e next2T=conj-c next2Cap=min palpite=O
) punc ini=simb cap=null simb=null prevW=supervisor prevT=n prevCap=min nextW=e nextT=conj-c nextCap=min prev2W=?o prev2T=n prev2Cap=null next2W=de next2T=prp next2Cap=min palpite=O
e conj-c ini=ncap cap=min simb=alpha prevW=) prevT=punc prevCap=null nextW=de nextT=prp nextCap=min prev2W=supervisor prev2T=n prev2Cap=min next2W=R$13,75 next2T=n next2Cap=null palpite=O
de prp ini=ncap cap=min simb=alpha prevW=e prevT=conj-c prevCap=min nextW=R$13,75 nextT=n nextCap=null prev2W=) prev2T=punc prev2Cap=null next2W=( next2T=punc next2Cap=null palpite=O
R$13,75 n ini=cap cap=null simb=null prevW=de prevT=prp prevCap=min nextW=( nextT=punc nextCap=null prev2W=e prev2T=conj-c prev2Cap=min next2W=recenseador next2T=n next2Cap=min palpite=I_VALOR
( punc ini=simb cap=null simb=null prevW=R$13,75 prevT=n prevCap=null nextW=recenseador nextT=n nextCap=min prev2W=de prev2T=prp prev2Cap=min next2W=) next2T=punc next2Cap=null palpite=O
recenseador n ini=ncap cap=min simb=alpha prevW=( prevT=punc prevCap=null nextW=) nextT=punc nextCap=null prev2W=R$13,75 prev2T=n prev2Cap=null next2W=. next2T=punc next2Cap=null palpite=O
) punc ini=simb cap=null simb=null prevW=recenseador prevT=n prevCap=min nextW=. nextT=punc nextCap=null prev2W=( prev2T=punc prev2Cap=null next2W=null next2T=null next2Cap=null palpite=O
. punc ini=simb cap=null simb=null prevW=) prevT=punc prevCap=null nextW=null nextT=null nextCap=null prev2W=recenseador prev2T=n prev2Cap=min next2W=null next2T=null next2Cap=null palpite=O
