cap,ini,next2Cap,next2T,next2W,nextCap,nextT,nextW,palpite,prev2Cap,prev2T,prev2W,prevCap,prevT,prevW,simb,tipo,word
0,0,0,14,7,2,12,335,5,0,14,5,3,3,430,0,6,148
2,0,0,0,0,0,14,7,12,3,3,410,0,7,146,2,11,419
0,2,0,0,0,0,0,0,15,0,7,139,2,12,417,0,13,6
2,0,2,7,97,3,13,771,15,0,0,0,0,0,0,2,17,286
3,1,0,14,5,2,7,99,15,0,0,0,2,18,284,2,12,859
2,0,0,12,198,0,14,5,2,2,18,271,3,13,856,2,6,104
0,2,0,14,5,0,12,202,15,3,13,813,2,7,102,0,13,4
0,0,3,7,1620,0,14,5,15,2,7,95,0,14,5,0,11,244
0,2,3,13,1219,3,7,1672,15,0,14,5,0,12,242,0,13,4
3,1,3,3,1169,3,13,1254,15,0,12,231,0,14,5,2,6,1760
3,1,2,12,99,3,3,1202,15,0,14,5,3,7,1756,2,12,1342
3,1,3,13,749,2,12,101,15,3,7,1667,3,13,1338,2,2,1290
2,0,0,8,25,3,13,771,15,3,13,1272,3,3,1286,2,11,106
3,1,3,16,344,0,8,26,15,3,3,1223,2,12,104,2,12,859
0,2,3,9,1500,3,16,353,6,2,12,97,3,13,856,3,7,25
3,1,3,7,1061,3,9,1548,15,3,13,813,0,8,25,2,15,441
3,1,3,7,353,3,7,1091,15,0,8,24,3,16,438,2,8,1636
3,1,3,4,734,3,7,363,15,3,16,418,3,9,1632,2,6,1179
3,1,3,7,1147,3,4,756,15,3,9,1549,3,7,1175,2,6,451
3,1,3,2,1083,3,7,1179,15,3,7,1119,3,7,448,2,3,844
3,1,3,7,382,3,2,1114,15,3,7,427,3,4,841,2,6,1267
3,1,3,7,338,3,7,392,15,3,4,800,3,7,1263,2,1,1202
3,1,3,3,427,3,7,347,15,3,7,1201,3,2,1198,2,6,480
3,1,3,7,1290,3,3,437,15,3,2,1140,3,7,477,2,6,435
3,1,3,18,631,3,7,1329,15,3,7,456,3,7,432,2,2,525
3,1,2,12,208,3,18,649,15,3,7,412,3,3,522,2,6,1417
3,1,3,18,631,2,12,212,15,3,3,499,3,7,1413,2,17,737
2,0,2,12,330,3,18,649,4,3,7,1344,3,18,734,2,11,256
3,1,0,14,7,2,12,338,11,3,18,698,2,12,254,2,17,737
2,0,0,7,130,0,14,7,11,2,12,243,3,18,734,2,11,423
0,2,2,12,327,0,7,133,15,3,18,698,2,12,421,0,13,6
0,0,0,7,1652,2,12,335,5,2,12,401,0,14,7,0,6,148
2,0,3,3,1606,0,7,1704,12,0,14,7,0,7,146,2,11,419
0,1,3,7,1032,3,3,1657,15,0,7,139,2,12,417,0,6,1792
3,1,0,7,1652,3,7,1062,15,2,12,399,0,7,1787,2,2,1745
3,1,3,7,1098,0,7,1704,15,0,7,1697,3,3,1741,2,6,1150
0,1,0,7,530,3,7,1129,15,3,3,1652,3,7,1146,0,6,1792
3,1,0,14,7,0,7,543,15,3,7,1092,0,7,1787,2,6,1217
0,1,0,0,0,0,14,7,15,0,7,1697,3,7,1213,0,6,631
0,2,0,0,0,0,0,0,15,3,7,1154,0,7,628,0,13,6
2,0,3,9,1501,3,2,1310,15,0,0,0,0,0,0,2,14,133
3,1,3,7,527,3,9,1549,15,0,0,0,2,15,131,2,1,1398
3,1,0,14,5,3,7,540,15,2,15,124,3,2,1394,2,8,1637
3,1,3,7,1588,0,14,5,15,3,2,1325,3,9,1633,2,6,628
0,2,0,7,952,3,7,1639,15,3,9,1550,3,7,625,0,13,4
3,1,3,13,537,0,7,981,15,3,7,597,0,14,5,2,6,1727
0,1,3,11,744,3,13,550,15,0,14,5,3,7,1723,0,6,1069
3,1,3,4,1203,3,11,766,15,3,7,1636,0,7,1065,2,12,638
3,1,0,7,1198,3,4,1238,15,0,7,1014,3,13,635,2,10,854
3,1,3,2,1380,0,7,1232,15,3,13,606,3,11,851,2,3,1326
0,1,3,1,1010,3,2,1421,15,3,11,809,3,4,1322,0,6,1320
3,1,0,14,7,3,1,1040,15,3,4,1257,0,7,1316,2,1,1509
3,1,0,0,0,0,14,7,15,0,7,1251,3,2,1505,2,0,1128
0,2,0,0,0,0,0,0,15,3,2,1430,3,1,1124,0,13,6
1,0,3,18,782,3,7,1182,15,0,0,0,0,0,0,2,2,297
3,1,3,13,1288,3,18,805,15,0,0,0,1,3,295,2,6,1270
3,1,0,7,130,3,13,1326,15,1,3,281,3,7,1266,2,17,893
3,1,2,12,327,0,7,133,15,3,7,1204,3,18,890,2,12,1414
0,0,0,14,5,2,12,335,5,3,18,844,3,13,1410,0,6,148
2,0,0,7,1652,0,14,5,12,3,13,1341,0,7,146,2,11,419
0,2,3,3,1169,0,7,1704,15,0,7,139,2,12,417,0,13,4
0,1,3,5,1382,3,3,1202,15,2,12,399,0,14,5,0,6,1792
3,1,3,11,741,3,5,1423,15,0,14,5,0,7,1787,2,2,1290
3,1,3,7,789,3,11,763,15,0,7,1697,3,3,1286,2,4,1511
3,1,3,5,1382,3,7,812,15,3,3,1223,3,5,1507,2,10,851
3,1,3,9,1520,3,5,1423,15,3,5,1432,3,11,848,2,6,900
3,1,3,7,1030,3,9,1570,15,3,11,806,3,7,897,2,4,1511
3,1,3,2,1443,3,7,1060,15,3,7,851,3,5,1507,2,8,1658
3,1,0,14,62,3,2,1487,15,3,5,1432,3,9,1654,2,6,1148
3,1,3,3,1606,0,14,63,15,3,9,1570,3,7,1144,2,1,1575
0,2,3,7,1350,3,3,1657,15,3,7,1090,3,2,1571,0,13,62
3,1,3,13,637,3,7,1390,15,3,2,1491,0,14,61,2,2,1745
3,1,2,7,278,3,13,655,15,0,14,56,3,3,1741,2,6,1478
3,1,3,18,724,2,7,285,15,3,3,1652,3,7,1474,2,12,743
2,0,2,7,185,3,18,745,5,3,7,1404,3,13,740,2,6,354
3,1,3,4,734,2,7,189,12,3,13,703,2,7,352,2,17,833
2,0,3,18,724,3,4,756,12,2,7,337,3,18,830,2,6,226
3,1,2,12,287,3,18,745,15,3,18,789,2,7,224,2,3,844
3,1,0,14,7,2,12,294,15,2,7,217,3,4,841,2,17,833
2,0,0,0,0,0,14,7,15,3,4,800,3,18,830,2,11,365
0,2,0,0,0,0,0,0,15,3,18,789,2,12,363,0,13,6
2,0,0,7,1166,3,2,1328,15,0,0,0,0,0,0,2,14,396
3,1,3,2,396,0,7,1199,15,0,0,0,2,15,394,2,1,1416
0,1,3,3,1605,3,2,406,15,2,15,376,3,2,1412,0,6,1287
3,1,0,7,761,3,3,1656,15,3,2,1343,0,7,1283,2,1,494
3,1,3,7,1121,0,7,783,15,0,7,1220,3,2,491,2,2,1744
0,1,3,7,997,3,7,1153,15,3,2,470,3,3,1740,0,6,871
3,1,0,14,5,3,7,1027,15,3,3,1651,0,7,868,2,6,1241
3,1,3,4,1063,0,14,5,15,0,7,824,3,7,1237,2,6,1115
0,2,0,7,1539,3,4,1093,15,3,7,1178,3,7,1111,0,13,4
3,1,3,3,1606,0,7,1589,15,3,7,1058,0,14,5,2,3,1181
0,1,3,7,1479,3,3,1657,15,0,14,5,3,4,1177,0,6,1677
3,1,0,14,5,3,7,1525,15,3,4,1121,0,7,1673,2,2,1745
3,1,3,13,537,0,14,5,15,0,7,1589,3,3,1741,2,6,1613
0,2,3,7,1034,3,13,550,15,3,3,1652,3,7,1609,0,13,4
3,1,3,13,637,3,7,1064,15,3,7,1527,0,14,5,2,12,638
3,1,3,7,1623,3,13,655,15,0,14,5,3,13,635,2,6,1152
3,1,3,13,749,3,7,1675,15,3,13,606,3,7,1148,2,12,743
3,1,3,7,804,3,13,771,15,3,7,1094,3,13,740,2,6,1763
3,1,0,14,5,3,7,829,15,3,13,703,3,7,1759,2,12,859
3,1,3,4,734,0,14,5,15,3,7,1670,3,13,856,2,6,917
0,2,3,7,1273,3,4,756,15,3,13,813,3,7,914,0,13,4
3,1,3,13,637,3,7,1311,15,3,7,867,0,14,5,2,3,844
3,1,3,7,492,3,13,655,15,0,14,5,3,4,841,2,6,1399
3,1,3,4,734,3,7,504,15,3,4,800,3,7,1395,2,12,743
3,1,3,7,1202,3,4,756,15,3,7,1326,3,13,740,2,6,592
3,1,3,13,1219,3,7,1236,15,3,13,703,3,7,589,2,3,844
3,1,0,7,437,3,13,1254,15,3,7,562,3,4,841,2,6,1324
3,1,0,14,7,0,7,448,15,3,4,800,3,7,1320,2,12,1342
0,1,0,0,0,0,14,7,15,3,7,1255,3,13,1338,0,6,536
0,2,0,0,0,0,0,0,15,3,13,1272,0,7,533,0,13,6
2,0,3,7,1030,3,3,1657,15,0,0,0,0,0,0,2,14,388
3,1,3,1,996,3,7,1060,15,0,0,0,2,15,386,2,2,1745
3,1,0,14,5,3,1,1026,15,2,15,369,3,3,1741,2,6,1148
3,1,3,4,1203,0,14,5,15,3,3,1652,3,7,1144,2,0,1114
0,2,3,15,1481,3,4,1238,15,3,7,1090,3,1,1110,0,13,4
3,1,0,14,5,3,15,1529,15,3,1,1057,0,14,5,2,3,1326
3,1,3,15,1573,0,14,5,15,0,14,5,3,4,1322,2,14,1617
0,2,0,7,1166,3,15,1623,15,3,4,1257,3,15,1613,0,13,4
3,1,3,2,396,0,7,1199,15,3,15,1531,0,14,5,2,14,1711
0,1,3,13,537,3,2,406,15,0,14,5,3,15,1707,0,6,1287
3,1,3,7,1034,3,13,550,15,3,15,1622,0,7,1283,2,1,494
3,1,3,18,1367,3,7,1064,15,0,7,1220,3,2,491,2,12,638
3,1,3,7,1147,3,18,1408,15,3,2,470,3,13,635,2,6,1152
3,1,2,12,99,3,7,1179,15,3,13,606,3,7,1148,2,17,1496
3,1,0,14,5,2,12,101,15,3,7,1094,3,18,1492,2,6,1267
2,0,3,4,1063,0,14,5,2,3,18,1421,3,7,1263,2,11,106
0,2,0,7,1539,3,4,1093,15,3,7,1201,2,12,104,0,13,4
3,1,3,13,537,0,7,1589,15,2,12,97,0,14,5,2,3,1181
0,1,3,7,1034,3,13,550,15,0,14,5,3,4,1177,0,6,1677
3,1,3,7,1325,3,7,1064,15,3,4,1121,0,7,1673,2,12,638
3,1,3,7,729,3,7,1365,15,0,7,1589,3,13,635,2,6,1152
3,1,2,7,155,3,7,750,15,3,13,606,3,7,1148,2,6,1453
3,1,2,12,321,2,7,159,15,3,7,1094,3,7,1449,2,6,838
2,0,3,4,734,2,12,329,15,3,7,1380,3,7,835,2,6,184
2,0,3,18,631,3,4,756,15,3,7,794,2,7,182,2,11,413
3,1,2,12,159,3,18,649,15,2,7,175,2,12,411,2,3,844
3,1,0,14,7,2,12,163,15,2,12,393,3,4,841,2,17,737
2,0,0,0,0,0,14,7,4,3,4,800,3,18,734,2,11,190
0,2,0,0,0,0,0,0,15,3,18,698,2,12,188,0,13,6
2,0,0,14,5,3,7,1133,15,0,0,0,0,0,0,2,6,291
3,1,3,15,795,0,14,5,15,0,0,0,2,7,289,2,6,1221
0,2,3,16,959,3,15,820,15,2,7,275,3,7,1217,0,13,4
3,1,3,2,1427,3,16,988,15,3,7,1158,0,14,5,2,14,908
3,1,3,7,729,3,2,1471,15,0,14,5,3,15,905,2,15,1076
3,1,1,12,145,3,7,750,15,3,15,858,3,16,1072,2,1,1559
3,1,0,14,5,1,12,148,15,3,16,1021,3,2,1555,2,6,838
1,0,3,18,631,0,14,5,15,3,2,1476,3,7,835,2,11,167
0,2,0,12,177,3,18,649,15,3,7,794,1,12,165,0,13,4
3,1,0,14,5,0,12,181,15,1,12,158,0,14,5,2,17,737
0,0,3,18,631,0,14,5,4,0,14,5,3,18,734,0,11,216
0,2,2,12,191,3,18,649,15,3,18,698,0,12,214,0,13,4
3,1,0,14,5,2,12,195,15,0,12,207,0,14,5,2,17,737
2,0,3,18,631,0,14,5,4,0,14,5,3,18,734,2,11,235
0,2,0,12,198,3,18,649,15,3,18,698,2,12,233,0,13,4
3,1,0,14,5,0,12,202,15,2,12,224,0,14,5,2,17,737
0,0,3,18,631,0,14,5,4,0,14,5,3,18,734,0,11,244
0,2,2,12,154,3,18,649,15,3,18,698,0,12,242,0,13,4
3,1,3,4,734,2,12,158,15,0,12,231,0,14,5,2,17,737
2,0,3,18,631,3,4,756,4,0,14,5,3,18,734,2,11,181
3,1,2,12,74,3,18,649,15,3,18,698,2,12,179,2,3,844
3,1,0,14,5,2,12,75,15,2,12,172,3,4,841,2,17,737
2,0,0,7,377,0,14,5,4,3,4,800,3,18,734,2,11,75
0,2,3,13,637,0,7,387,15,3,18,698,2,12,73,0,13,4
0,1,3,7,709,3,13,655,15,2,12,67,0,14,5,0,6,475
3,1,3,13,637,3,7,729,15,0,14,5,0,7,472,2,12,743
3,1,3,7,1174,3,13,655,15,0,7,451,3,13,740,2,6,817
3,1,3,7,737,3,7,1207,15,3,13,703,3,7,814,2,12,743
3,1,3,13,749,3,7,759,15,3,7,773,3,13,740,2,6,1295
3,1,2,12,256,3,13,771,15,3,13,703,3,7,1291,2,6,847
3,1,3,4,734,2,12,263,15,3,7,1228,3,7,844,2,12,859
2,0,3,5,1382,3,4,756,2,3,7,802,3,13,856,2,11,326
3,1,3,15,593,3,5,1423,15,3,13,813,2,12,324,2,3,844
3,1,3,13,537,3,15,610,15,2,12,309,3,4,841,2,4,1511
3,1,3,3,1606,3,13,550,15,3,4,800,3,5,1507,2,14,698
3,1,0,7,713,3,3,1657,15,3,5,1432,3,15,695,2,12,638
3,1,3,7,1147,0,7,733,15,3,15,661,3,13,635,2,2,1745
0,1,0,7,1241,3,7,1179,15,3,13,606,3,3,1741,0,6,821
3,1,0,14,7,0,7,1276,15,3,3,1652,0,7,818,2,6,1267
0,1,0,0,0,0,14,7,15,0,7,777,3,7,1263,0,6,1364
0,2,0,0,0,0,0,0,15,3,7,1201,0,7,1360,0,13,6
2,0,3,7,1036,3,9,1185,15,0,0,0,0,0,0,2,12,175
3,1,3,1,1641,3,7,1066,15,0,0,0,2,13,173,2,8,1273
3,1,0,14,5,3,1,1693,15,2,13,166,3,9,1269,2,6,1154
3,1,0,7,1647,0,14,5,15,3,9,1207,3,7,1150,2,0,1781
0,2,0,7,1283,0,7,1699,15,3,7,1096,3,1,1777,0,13,4
0,1,3,17,590,0,7,1321,15,3,1,1688,0,14,5,0,6,1787
0,1,3,9,1154,3,17,607,15,0,14,5,0,7,1783,0,6,1409
3,1,0,7,496,3,9,1187,15,0,7,1693,0,7,1405,2,16,695
3,1,0,14,5,0,7,509,15,0,7,1336,3,17,692,2,8,1275
0,1,3,18,1192,0,14,5,15,3,17,658,3,9,1271,0,6,597
0,2,3,13,1288,3,18,1226,15,3,9,1209,0,7,594,0,13,4
3,1,3,7,448,3,13,1326,15,0,7,566,0,14,5,2,17,1314
3,1,0,14,5,3,7,460,15,0,14,5,3,18,1310,2,12,1414
3,1,0,7,1603,0,14,5,15,3,18,1247,3,13,1410,2,6,548
0,2,3,4,734,0,7,1654,15,3,13,1341,3,7,545,0,13,4
0,1,3,7,435,3,4,756,15,3,7,520,0,14,5,0,6,1742
3,1,0,14,5,3,7,446,15,0,14,5,0,7,1738,2,3,844
3,1,3,1,969,0,14,5,15,0,7,1649,3,4,841,2,6,534
0,2,3,18,631,3,1,998,15,3,4,800,3,7,531,0,13,4
3,1,0,7,1046,3,18,649,15,3,7,507,0,14,5,2,0,1086
3,1,3,4,1203,0,7,1076,15,0,14,5,3,1,1082,2,17,737
0,1,3,18,631,3,4,1238,15,3,1,1030,3,18,734,0,6,1164
3,1,3,7,1199,3,18,649,15,3,18,698,0,7,1160,2,3,1326
3,1,3,18,724,3,7,1233,15,0,7,1106,3,4,1322,2,17,737
3,1,3,7,1033,3,18,745,15,3,4,1257,3,18,734,2,6,1321
3,1,0,14,7,3,7,1063,15,3,18,698,3,7,1317,2,17,833
3,1,0,0,0,0,14,7,15,3,7,1252,3,18,830,2,6,1151
0,2,0,0,0,0,0,0,15,3,18,789,3,7,1147,0,13,6
2,0,3,7,729,3,7,1080,15,0,0,0,0,0,0,2,11,284
3,1,3,7,495,3,7,750,15,0,0,0,2,12,282,2,6,1168
3,1,0,14,5,3,7,508,15,2,12,269,3,7,1164,2,6,838
3,1,3,15,1551,0,14,5,15,3,7,1110,3,7,835,2,6,596
0,2,3,3,1169,3,15,1601,15,3,7,794,3,7,593,0,13,4
3,1,0,7,1602,3,3,1202,15,3,7,565,0,14,5,2,14,1689
3,1,3,13,749,0,7,1653,15,0,14,5,3,15,1685,2,2,1290
0,1,3,7,804,3,13,771,15,3,15,1601,3,3,1286,0,6,1741
3,1,0,14,5,3,7,829,15,3,3,1223,0,7,1737,2,12,859
3,1,3,5,750,0,14,5,15,0,7,1648,3,13,856,2,6,917
0,2,3,2,825,3,5,772,15,3,13,813,3,7,914,0,13,4
3,1,0,14,5,3,2,851,15,3,7,867,0,14,5,2,4,860
3,1,3,3,1169,0,14,5,15,0,14,5,3,5,857,2,1,939
0,2,3,2,1083,3,3,1202,15,3,5,814,3,2,935,0,13,4
3,1,3,15,1292,3,2,1114,15,3,2,887,0,14,5,2,2,1290
3,1,3,17,796,3,15,1331,15,0,14,5,3,3,1286,2,1,1202
3,1,3,13,749,3,17,821,15,3,3,1223,3,2,1198,2,14,1419
3,1,3,7,854,3,13,771,15,3,2,1140,3,15,1415,2,16,909
3,1,0,14,7,3,7,881,15,3,15,1346,3,17,906,2,12,859
3,1,0,0,0,0,14,7,15,3,17,859,3,13,856,2,6,969
0,2,0,0,0,0,0,0,15,3,13,813,3,7,965,0,13,6
2,0,0,14,5,3,7,507,15,0,0,0,0,0,0,2,1,288
3,1,3,15,1281,0,14,5,15,0,0,0,2,2,286,2,6,595
0,2,3,17,739,3,15,1319,15,2,2,273,3,7,592,0,13,4
3,1,3,3,1169,3,17,761,15,3,7,564,0,14,5,2,14,1407
3,1,3,7,1243,3,3,1202,15,0,14,5,3,15,1403,2,16,849
3,1,3,13,1219,3,7,1278,15,3,15,1334,3,17,846,2,2,1290
3,1,0,7,1647,3,13,1254,15,3,17,804,3,3,1286,2,6,1366
3,1,0,14,7,0,7,1699,15,3,3,1223,3,7,1362,2,12,1342
0,1,0,0,0,0,14,7,15,3,7,1295,3,13,1338,0,6,1787
0,2,0,0,0,0,0,0,15,3,13,1272,0,7,1783,0,13,6
2,0,3,9,1153,3,13,655,15,0,0,0,0,0,0,2,2,412
3,1,3,1,1318,3,9,1186,15,0,0,0,2,3,410,2,12,743
3,1,0,7,693,3,1,1358,15,2,3,392,3,13,740,2,8,1274
3,1,3,13,749,0,7,713,15,3,13,703,3,9,1270,2,0,1446
0,1,0,7,1433,3,13,771,15,3,9,1208,3,1,1442,0,6,801
3,1,3,3,337,0,7,1477,15,3,1,1373,0,7,798,2,12,859
0,1,3,9,1206,3,3,345,15,0,7,759,3,13,856,0,6,1565
3,1,0,14,2,3,9,1241,15,3,13,813,0,7,1561,2,2,433
3,1,3,7,1037,0,14,2,15,0,7,1482,3,3,430,2,8,1329
0,2,3,1,1640,3,7,1067,15,3,3,410,3,9,1325,0,13,1
3,1,0,14,2,3,1,1692,15,3,9,1260,0,14,2,2,6,1155
3,1,3,7,1446,0,14,2,15,0,14,2,3,7,1151,2,0,1780
0,2,3,2,1012,3,7,1490,15,3,7,1097,3,1,1776,0,13,1
3,1,3,7,1121,3,2,1042,15,3,1,1687,0,14,2,2,6,1578
3,1,0,7,839,3,7,1153,15,0,14,2,3,7,1574,2,1,1130
3,1,3,13,637,0,7,865,15,3,7,1494,3,2,1126,2,6,1241
0,1,3,3,1605,3,13,655,15,3,2,1072,3,7,1237,0,6,953
3,1,0,7,496,3,3,1656,15,3,7,1178,0,7,949,2,12,743
3,1,3,7,1466,0,7,509,15,0,7,901,3,13,740,2,2,1744
0,1,3,4,734,3,7,1511,15,3,13,703,3,3,1740,0,6,597
3,1,3,18,1617,3,4,756,15,3,3,1651,0,7,594,2,6,1599
3,1,0,14,5,3,18,1669,15,0,7,566,3,7,1595,2,3,844
3,1,3,5,750,0,14,5,15,3,7,1514,3,4,841,2,17,1757
0,2,3,7,707,3,5,772,15,3,4,800,3,18,1753,0,13,4
3,1,3,13,637,3,7,727,15,3,18,1664,0,14,5,2,4,860
3,1,3,3,1605,3,13,655,15,0,14,5,3,5,857,2,6,815
3,1,0,7,1165,3,3,1656,15,3,5,814,3,7,812,2,12,743
3,1,3,18,1026,0,7,1198,15,3,7,771,3,13,740,2,2,1744
0,1,3,13,637,3,18,1056,15,3,13,703,3,3,1740,0,6,1286
3,1,3,7,832,3,13,655,15,3,3,1651,0,7,1282,2,17,1144
3,1,3,13,637,3,7,858,15,0,7,1219,3,18,1140,2,12,743
3,1,3,9,477,3,13,655,15,3,18,1086,3,13,740,2,6,946
3,1,3,7,1033,3,9,489,15,3,13,703,3,7,942,2,12,743
3,1,0,14,5,3,7,1063,15,3,7,894,3,13,740,2,8,577
3,1,3,18,689,0,14,5,15,3,13,703,3,9,574,2,6,1151
0,2,3,3,337,3,18,709,15,3,9,548,3,7,1147,0,13,4
3,1,3,7,1324,3,3,345,15,3,7,1093,0,14,5,2,17,797
3,1,3,13,637,3,7,1364,15,0,14,5,3,18,794,2,2,433
3,1,0,7,785,3,13,655,15,3,18,755,3,3,430,2,6,1452
3,1,0,14,7,0,7,808,15,3,3,410,3,7,1448,2,12,743
0,1,0,0,0,0,14,7,15,3,7,1379,3,13,740,0,6,896
0,2,0,0,0,0,0,0,15,3,13,703,0,7,893,0,13,6
2,0,2,18,288,3,18,745,4,0,0,0,0,0,0,2,6,415
3,1,0,12,122,2,18,295,11,0,0,0,2,7,413,2,17,833
2,0,0,8,26,0,12,125,11,2,7,395,3,18,830,2,17,366
0,0,0,14,7,0,8,27,11,3,18,789,2,18,364,0,11,139
0,2,0,8,10,0,14,7,15,2,18,347,0,12,137,3,7,26
0,2,2,7,195,0,8,10,15,0,12,130,0,8,26,0,13,6
0,2,3,7,635,2,7,199,15,0,8,25,0,14,7,3,7,9
2,0,0,7,81,3,7,653,4,0,14,7,0,8,9,2,6,241
3,1,3,18,724,0,7,82,11,0,8,9,2,7,239,2,6,741
0,0,2,18,288,3,18,745,11,2,7,229,3,7,738,0,6,86
3,1,0,12,122,2,18,295,15,3,7,701,0,7,84,2,17,833
2,0,3,13,637,0,12,125,15,0,7,77,3,18,830,2,17,366
0,0,2,12,200,3,13,655,15,3,18,789,2,18,364,0,11,139
3,1,3,15,1394,2,12,204,15,2,18,347,0,12,137,2,12,743
2,0,0,7,451,3,15,1437,5,0,12,130,3,13,740,2,11,247
3,1,3,13,1219,0,7,463,15,3,13,703,2,12,245,2,14,1525
0,1,3,3,1169,3,13,1254,15,2,12,234,3,15,1521,0,6,551
3,1,3,7,903,3,3,1202,15,3,15,1444,0,7,548,2,12,1342
3,1,3,18,631,3,7,931,15,0,7,523,3,13,1338,2,2,1290
3,1,2,12,164,3,18,649,15,3,13,1272,3,3,1286,2,6,1019
3,1,3,13,637,2,12,168,15,3,3,1223,3,7,1015,2,17,737
2,0,0,12,169,3,13,655,4,3,7,966,3,18,734,2,11,197
3,1,0,7,111,0,12,173,11,3,18,698,2,12,195,2,12,743
0,0,3,4,734,0,7,114,11,2,12,188,3,13,740,0,11,205
0,0,2,7,209,3,4,756,15,3,13,703,0,12,203,0,6,121
3,1,3,18,724,2,7,213,15,0,12,196,0,7,119,2,3,844
2,0,2,18,288,3,18,745,5,0,7,112,3,4,841,2,6,257
3,1,0,12,122,2,18,295,12,3,4,800,2,7,255,2,17,833
2,0,3,13,637,0,12,125,12,2,7,244,3,18,830,2,17,366
0,0,2,12,200,3,13,655,12,3,18,789,2,18,364,0,11,139
3,1,0,14,5,2,12,204,15,2,18,347,0,12,137,2,12,743
2,0,0,7,442,0,14,5,5,0,12,130,3,13,740,2,11,247
0,2,3,18,724,0,7,453,15,3,13,703,2,12,245,0,13,4
0,1,2,19,134,3,18,745,15,2,12,234,0,14,5,0,6,541
3,1,0,7,1163,2,19,137,15,0,14,5,0,7,538,2,17,833
2,0,0,8,45,0,7,1196,15,0,7,513,3,18,830,2,18,152
