cap,ini,label,next2Cap,next2T,next2W,nextCap,nextT,nextW,palpite,prev2Cap,prev2T,prev2W,prevCap,prevT,prevW,simb,tipo,word
0,2,10,0,12,194,1,6,422,12,2,6,399,0,7,134,0,11,3
1,0,10,1,1,322,0,12,194,12,0,7,127,0,12,4,2,5,423
0,2,10,0,12,5,1,1,323,12,0,12,4,1,6,423,0,11,193
1,0,10,2,15,212,0,12,5,12,1,6,413,0,12,193,2,0,323
0,2,10,3,3,482,2,15,212,12,0,12,186,1,1,323,0,11,4
2,0,10,2,6,405,3,3,485,12,1,1,315,0,12,5,2,14,211
3,1,10,0,6,583,2,6,406,12,0,12,5,2,15,211,2,2,487
2,0,10,0,7,193,0,6,586,12,2,15,204,3,3,484,2,5,407
0,1,10,0,12,4,0,7,193,12,3,3,474,2,6,407,0,5,588
0,2,4,3,11,527,0,12,4,12,2,6,397,0,6,585,3,6,192
0,2,10,0,6,162,3,11,530,12,0,6,575,0,7,192,0,11,3
3,1,10,0,12,4,0,6,162,12,0,7,185,0,12,4,2,10,532
0,2,3,3,5,618,0,12,4,12,0,12,4,3,11,529,0,5,161
0,2,10,3,13,530,3,5,621,12,3,11,519,0,6,161,0,11,3
3,1,10,3,6,572,3,13,533,12,0,6,154,0,12,4,2,4,623
3,1,10,3,16,536,3,6,575,12,0,12,4,3,5,620,2,12,535
3,1,10,2,10,246,3,16,539,12,3,5,608,3,13,532,2,5,577
3,1,10,3,11,527,2,10,246,12,3,13,522,3,6,574,2,15,541
2,0,1,2,1,660,3,11,530,12,3,6,564,3,16,538,2,9,245
3,1,6,3,11,543,2,1,663,12,3,16,528,2,10,245,2,10,532
2,0,6,2,6,399,3,11,546,12,2,10,238,3,11,529,2,0,665
3,1,6,3,11,543,2,6,400,12,3,11,519,2,1,662,2,10,548
2,0,6,2,6,454,3,11,546,1,2,1,649,3,11,545,2,5,401
3,1,6,2,6,321,2,6,457,12,3,11,535,2,6,401,2,10,548
2,0,6,0,12,5,2,6,322,1,2,6,391,3,11,545,2,5,459
2,0,6,1,6,231,0,12,5,7,3,11,535,2,6,457,2,5,322
0,2,10,3,16,536,1,6,231,12,2,6,447,2,6,322,0,11,4
1,0,10,2,10,329,3,16,539,12,2,6,314,0,12,5,2,5,230
3,1,10,0,12,4,2,10,330,12,0,12,5,1,6,230,2,15,541
2,0,1,3,11,592,0,12,4,12,1,6,223,3,16,538,2,9,330
0,2,10,0,12,194,3,11,595,12,3,16,528,2,10,330,0,11,3
3,1,10,3,3,482,0,12,194,12,2,10,322,0,12,4,2,10,597
0,2,10,0,12,3,3,3,485,12,0,12,4,3,11,594,0,11,193
3,1,10,2,15,276,0,12,3,12,3,11,584,0,12,193,2,2,487
0,2,10,3,3,585,2,15,277,12,0,12,186,3,3,484,0,11,2
2,0,10,3,6,633,3,3,588,12,3,3,474,0,12,3,2,14,276
3,1,10,1,6,200,3,6,636,12,0,12,3,2,15,276,2,2,590
3,1,10,1,10,338,1,6,200,12,2,15,268,3,3,587,2,5,638
1,0,2,1,6,262,1,10,339,12,3,3,577,3,6,635,2,5,199
1,0,7,1,10,378,1,6,262,12,3,6,622,1,6,199,2,9,339
1,0,7,3,2,508,1,10,379,12,1,6,192,1,10,339,2,5,261
1,0,7,3,6,644,3,2,511,12,1,10,331,1,6,261,2,9,380
3,1,10,3,11,527,3,6,647,12,1,6,254,1,10,380,2,1,513
3,1,10,1,6,423,3,11,530,12,1,10,372,3,2,510,2,5,649
3,1,10,1,6,480,1,6,426,12,3,2,500,3,6,646,2,10,532
1,0,2,1,6,203,1,6,483,12,3,6,633,3,11,529,2,5,427
1,0,7,2,10,251,1,6,203,12,3,11,519,1,6,427,2,5,485
1,0,7,0,12,3,2,10,251,12,1,6,417,1,6,482,2,5,202
2,0,10,0,12,195,0,12,3,12,1,6,472,1,6,202,2,9,250
0,2,10,3,6,502,0,12,195,12,1,6,195,2,10,250,0,11,2
0,2,10,0,12,3,3,6,505,12,2,10,243,0,12,3,0,11,194
3,1,10,2,15,276,0,12,3,12,0,12,3,0,12,194,2,5,507
0,2,10,3,3,585,2,15,277,12,0,12,187,3,6,504,0,11,2
2,0,10,3,6,633,3,3,588,12,3,6,494,0,12,3,2,14,276
3,1,10,1,10,425,3,6,636,12,0,12,3,2,15,276,2,2,590
3,1,10,1,6,234,1,10,428,12,2,15,268,3,3,587,2,5,638
1,0,2,1,6,262,1,6,234,12,3,3,577,3,6,635,2,9,429
1,0,7,1,10,378,1,6,262,12,3,6,622,1,10,429,2,5,233
1,0,7,1,6,303,1,10,379,12,1,10,419,1,6,233,2,5,261
1,0,7,3,2,508,1,6,304,12,1,6,226,1,6,261,2,9,380
1,0,7,3,6,644,3,2,511,12,1,6,254,1,10,380,2,5,304
3,1,10,3,11,527,3,6,647,12,1,10,372,1,6,304,2,1,513
3,1,10,1,10,354,3,11,530,12,1,6,296,3,2,510,2,5,649
3,1,10,1,6,415,1,10,355,12,3,2,500,3,6,646,2,10,532
1,0,2,1,10,439,1,6,417,12,3,6,633,3,11,529,2,9,355
1,0,7,0,12,2,1,10,442,12,3,11,519,1,10,355,2,5,418
1,0,7,2,10,251,0,12,2,12,1,10,347,1,6,418,2,9,443
0,2,10,2,6,457,2,10,251,12,1,6,408,1,10,441,0,11,1
2,0,10,0,12,3,2,6,460,12,1,10,431,0,12,2,2,9,250
2,0,10,0,12,6,0,12,3,12,0,12,2,2,10,250,2,5,462
0,2,10,0,0,0,0,12,6,12,2,10,243,2,6,459,0,11,2
0,2,10,0,0,0,0,0,0,12,2,6,449,0,12,3,0,11,5
1,0,10,2,13,307,0,12,5,12,0,0,0,0,0,0,2,0,326
0,2,10,3,16,570,2,13,308,12,0,0,0,1,1,326,0,11,4
2,0,10,3,3,590,3,16,573,12,1,1,318,0,12,5,2,12,308
3,1,10,3,2,528,3,3,593,12,0,12,5,2,13,308,2,15,575
3,1,10,3,6,646,3,2,531,12,2,13,300,3,16,572,2,2,595
3,1,10,3,16,523,3,6,649,12,3,16,562,3,3,592,2,1,533
3,1,10,3,16,621,3,16,526,12,3,3,582,3,2,530,2,5,651
3,1,10,2,6,405,3,16,624,12,3,2,520,3,6,648,2,15,528
3,1,10,0,12,6,2,6,406,12,3,6,635,3,16,525,2,15,626
2,0,10,0,0,0,0,12,6,12,3,16,515,3,16,623,2,5,407
0,2,10,0,0,0,0,0,0,12,3,16,611,2,6,407,0,11,5
1,0,10,0,10,413,0,12,5,12,0,0,0,0,0,0,2,0,327
0,2,10,0,12,6,0,10,414,12,0,0,0,1,1,327,0,11,4
0,0,10,1,6,263,0,12,6,12,1,1,319,0,12,5,0,9,415
0,2,10,1,6,417,1,6,263,12,0,12,5,0,10,415,0,11,5
1,0,2,1,6,206,1,6,419,12,0,10,405,0,12,6,2,5,262
1,0,7,2,6,429,1,6,206,12,0,12,6,1,6,262,2,5,420
1,0,7,0,0,0,2,6,432,12,1,6,255,1,6,420,2,5,205
2,0,10,0,0,0,0,0,0,12,1,6,410,1,6,205,2,5,433
1,0,10,1,10,297,1,10,415,12,0,0,0,0,0,0,2,5,445
1,0,10,1,10,394,1,10,298,12,0,0,0,1,6,443,2,9,416
1,0,10,0,6,374,1,10,395,12,1,6,433,1,10,416,2,9,298
1,0,10,0,7,166,0,6,375,12,1,10,406,1,10,298,2,9,396
0,0,10,0,12,4,0,7,166,12,1,10,290,1,10,396,0,5,376
0,2,4,1,6,262,0,12,4,12,1,10,386,0,6,376,3,6,165
0,2,10,0,7,79,1,6,262,12,0,6,368,0,7,165,0,11,3
1,0,10,1,6,262,0,7,79,12,0,7,158,0,12,4,2,5,261
0,2,3,1,10,341,1,6,262,5,0,12,4,1,6,261,3,6,78
1,0,8,1,6,262,1,10,342,11,1,6,254,0,7,78,2,5,261
1,0,8,0,7,121,1,6,262,11,0,7,76,1,6,261,2,9,342
1,0,8,0,12,6,0,7,121,11,1,6,254,1,10,342,2,5,261
0,2,8,0,0,0,0,12,6,11,1,10,334,1,6,261,3,6,120
0,2,10,0,0,0,0,0,0,12,1,6,254,0,7,120,0,11,5
1,0,10,1,6,269,0,6,268,12,0,0,0,0,0,0,2,2,379
0,0,10,1,6,230,1,6,270,12,0,0,0,1,3,379,0,5,267
1,0,10,1,10,297,1,6,230,12,1,3,371,0,6,267,2,5,269
1,0,1,1,6,262,1,10,298,3,0,6,259,1,6,269,2,5,229
1,0,6,1,6,285,1,6,262,9,1,6,261,1,6,229,2,9,298
1,0,6,1,6,464,1,6,286,9,1,6,222,1,10,298,2,5,261
1,0,6,1,6,269,1,6,467,9,1,10,290,1,6,261,2,5,285
1,0,6,1,6,287,1,6,270,9,1,6,254,1,6,285,2,5,469
1,0,6,1,6,437,1,6,288,9,1,6,277,1,6,466,2,5,269
1,0,6,0,12,4,1,6,440,9,1,6,456,1,6,269,2,5,287
1,0,6,3,6,579,0,12,4,9,1,6,261,1,6,287,2,5,441
0,2,10,3,6,652,3,6,582,12,1,6,279,1,6,439,0,11,3
3,1,10,3,11,527,3,6,655,12,1,6,429,0,12,4,2,5,584
3,1,10,3,8,641,3,11,530,12,0,12,4,3,6,581,2,5,657
3,1,10,3,6,500,3,8,644,12,3,6,571,3,6,654,2,10,532
3,1,10,3,6,623,3,6,503,12,3,6,641,3,11,529,2,7,646
3,1,10,0,12,4,3,6,626,12,3,11,519,3,8,643,2,5,505
3,1,10,3,6,514,0,12,4,12,3,8,630,3,6,502,2,5,628
0,2,10,3,3,585,3,6,517,12,3,6,492,3,6,625,0,11,3
3,1,10,3,5,618,3,3,588,12,3,6,613,0,12,4,2,5,519
3,1,10,3,6,606,3,5,621,12,0,12,4,3,6,516,2,2,590
3,1,10,3,3,585,3,6,609,12,3,6,506,3,3,587,2,4,623
3,1,10,3,6,494,3,3,588,12,3,3,577,3,5,620,2,5,611
3,1,10,0,7,90,3,6,497,12,3,5,608,3,6,608,2,2,590
3,1,10,3,16,536,0,7,90,12,3,6,597,3,3,587,2,5,499
0,2,4,2,6,214,3,16,539,12,3,3,577,3,6,496,3,6,89
3,1,10,3,11,490,2,6,214,12,3,6,486,0,7,89,2,15,541
2,0,10,2,17,272,3,11,493,12,0,7,87,3,16,538,2,5,213
3,1,10,0,6,583,2,17,273,12,3,16,528,2,6,213,2,10,495
2,0,10,0,7,191,0,6,586,12,2,6,206,3,11,492,2,16,272
0,1,10,0,12,4,0,7,191,12,3,11,482,2,17,272,0,5,588
0,2,4,3,3,482,0,12,4,12,2,17,264,0,6,585,0,6,190
0,2,10,2,6,434,3,3,485,12,0,6,575,0,7,190,0,11,3
3,1,10,1,6,236,2,6,437,12,0,7,183,0,12,4,2,2,487
2,0,10,0,6,583,1,6,236,12,0,12,4,3,3,484,2,5,438
1,0,10,0,7,36,0,6,586,12,3,3,474,2,6,436,2,5,235
0,1,10,0,12,4,0,7,36,12,2,6,426,1,6,235,0,5,588
0,2,4,3,11,527,0,12,4,12,1,6,228,0,6,585,3,6,35
0,2,10,0,7,148,3,11,530,12,0,6,575,0,7,36,0,11,3
3,1,10,0,12,4,0,7,148,12,0,7,36,0,12,4,2,10,532
0,2,3,3,11,527,0,12,4,12,0,12,4,3,11,529,0,6,147
0,2,10,3,6,513,3,11,530,12,3,11,519,0,7,147,0,11,3
3,1,10,3,11,507,3,6,516,12,0,7,140,0,12,4,2,10,532
3,1,10,3,3,482,3,11,510,12,0,12,4,3,11,529,2,5,518
3,1,10,2,6,348,3,3,485,12,3,11,519,3,6,515,2,10,512
3,1,10,0,6,583,2,6,349,12,3,6,505,3,11,509,2,2,487
2,0,10,0,7,64,0,6,586,12,3,11,499,3,3,484,2,5,349
0,1,10,0,12,4,0,7,64,12,3,3,474,2,6,349,0,5,588
0,2,4,3,11,527,0,12,4,12,2,6,341,0,6,585,0,6,63
0,2,10,0,7,43,3,11,530,12,0,6,575,0,7,64,0,11,3
3,1,10,0,12,4,0,7,43,12,0,7,63,0,12,4,2,10,532
0,2,3,3,16,612,0,12,4,12,0,12,4,3,11,529,0,6,42
0,2,10,3,6,579,3,16,615,12,3,11,519,0,7,43,0,11,3
3,1,10,0,6,256,3,6,582,12,0,7,43,0,12,4,2,15,617
3,1,10,3,11,527,0,6,256,12,0,12,4,3,16,614,2,5,584
0,0,10,0,7,60,3,11,530,1,3,16,602,3,6,581,0,5,255
3,1,10,0,12,4,0,7,60,12,3,6,571,0,6,255,2,10,532
0,2,3,3,4,539,0,12,4,12,0,6,248,3,11,529,0,6,59
0,2,10,3,14,645,3,4,542,12,3,11,519,0,7,60,0,11,3
3,1,10,3,11,543,3,14,648,12,0,7,59,0,12,4,2,3,544
3,1,10,3,6,657,3,11,546,12,0,12,4,3,4,541,2,13,650
3,1,10,3,3,585,3,6,660,12,3,4,531,3,14,647,2,10,548
3,1,10,3,5,618,3,3,588,12,3,14,634,3,11,545,2,5,662
3,1,10,3,6,515,3,5,621,12,3,11,535,3,6,659,2,2,590
3,1,10,3,16,536,3,6,518,12,3,6,646,3,3,587,2,4,623
3,1,10,2,6,407,3,16,539,12,3,3,577,3,5,620,2,5,520
3,1,10,0,7,133,2,6,408,12,3,5,608,3,6,517,2,15,541
2,0,10,0,12,4,0,7,133,12,3,6,507,3,16,538,2,5,409
0,2,4,1,6,419,0,12,4,12,3,16,528,2,6,409,0,6,132
0,2,10,0,12,194,1,6,422,12,2,6,399,0,7,132,0,11,3
1,0,10,2,15,248,0,12,194,12,0,7,125,0,12,4,2,5,423
0,2,10,3,6,610,2,15,248,12,0,12,4,1,6,423,0,11,193
2,0,10,3,6,553,3,6,613,12,1,6,413,0,12,193,2,14,247
3,1,10,3,16,523,3,6,556,12,0,12,186,2,15,247,2,5,615
3,1,10,2,6,244,3,16,526,12,2,15,240,3,6,612,2,5,558
3,1,10,1,4,284,2,6,244,12,3,6,601,3,6,555,2,15,528
2,0,10,0,12,4,1,4,285,3,3,6,545,3,16,525,2,5,243
1,0,10,2,1,376,0,12,4,9,3,16,515,2,6,243,2,3,284
0,2,10,0,7,158,2,1,377,12,2,6,236,1,4,284,0,11,3
2,0,10,0,12,4,0,7,158,12,1,4,276,0,12,4,2,0,378
0,2,3,3,11,592,0,12,4,12,0,12,4,2,1,378,3,6,157
0,2,10,3,3,482,3,11,595,12,2,1,370,0,7,157,0,11,3
3,1,10,2,6,244,3,3,485,12,0,7,150,0,12,4,2,10,597
3,1,10,1,4,284,2,6,244,12,0,12,4,3,11,594,2,2,487
2,0,10,0,12,4,1,4,285,12,3,11,584,3,3,484,2,5,243
1,0,10,2,1,376,0,12,4,12,3,3,474,2,6,243,2,3,284
0,2,10,0,7,168,2,1,377,12,2,6,236,1,4,284,0,11,3
2,0,10,0,12,4,0,7,168,12,1,4,276,0,12,4,2,0,378
0,2,4,3,3,482,0,12,4,12,0,12,4,2,1,378,3,6,167
0,2,10,3,15,594,3,3,485,12,2,1,370,0,7,167,0,11,3
3,1,10,3,11,527,3,15,597,12,0,7,160,0,12,4,2,2,487
3,1,10,0,7,97,3,11,530,12,0,12,4,3,3,484,2,14,599
3,1,10,0,12,4,0,7,97,12,3,3,474,3,15,596,2,10,532
0,2,3,3,11,490,0,12,4,12,3,15,586,3,11,529,0,6,96
0,2,10,3,6,633,3,11,493,12,3,11,519,0,7,96,0,11,3
3,1,10,1,10,386,3,6,636,12,0,7,94,0,12,4,2,10,495
3,1,10,1,6,418,1,10,387,12,0,12,4,3,11,492,2,5,638
1,0,2,1,6,209,1,6,421,12,3,11,482,3,6,635,2,9,388
1,0,7,0,12,4,1,6,209,12,3,6,622,1,10,388,2,5,422
1,0,7,3,6,571,0,12,4,12,1,10,380,1,6,422,2,5,208
0,2,10,1,10,442,3,6,574,12,1,6,412,1,6,208,0,11,3
3,1,10,0,7,20,1,10,445,12,1,6,201,0,12,4,2,5,576
1,0,10,0,12,4,0,7,20,12,0,12,4,3,6,573,2,9,447
0,2,4,3,6,588,0,12,4,12,3,6,563,1,10,445,3,6,19
0,2,10,3,16,536,3,6,591,12,1,10,435,0,7,20,0,11,3
3,1,10,3,6,505,3,16,539,12,0,7,20,0,12,4,2,5,593
3,1,10,3,11,527,3,6,508,12,0,12,4,3,6,590,2,15,541
3,1,10,2,6,408,3,11,530,12,3,6,580,3,16,538,2,5,510
3,1,10,3,11,527,2,6,409,12,3,16,528,3,6,507,2,10,532
2,0,10,2,6,293,3,11,530,12,3,6,497,3,11,529,2,5,410
3,1,10,3,11,527,2,6,294,12,3,11,519,2,6,410,2,10,532
2,0,10,0,1,111,3,11,530,0,2,6,400,3,11,529,2,5,294
3,1,10,3,4,539,0,1,111,12,3,11,519,2,6,294,2,10,532
0,2,10,0,1,157,3,4,542,6,2,6,286,3,11,529,0,0,110
3,1,10,2,10,318,0,1,157,12,3,11,519,0,1,110,2,3,544
0,2,10,3,6,532,2,10,319,6,0,1,108,3,4,541,0,0,156
2,0,10,1,6,229,3,6,535,12,3,4,531,0,1,156,2,9,319
3,1,10,0,12,6,1,6,229,12,0,1,149,2,10,319,2,5,537
1,0,10,1,10,335,0,12,6,12,2,10,311,3,6,534,2,5,228
0,2,10,1,17,339,1,10,336,12,3,6,524,1,6,228,0,11,5
1,0,2,1,10,387,1,17,340,12,1,6,221,0,12,6,2,9,336
1,0,7,0,10,279,1,10,388,12,0,12,6,1,10,336,2,16,340
1,0,7,0,0,0,0,10,280,12,1,10,328,1,17,340,2,9,389
0,0,10,0,0,0,0,0,0,3,1,17,332,1,10,389,0,9,279
1,0,10,1,10,297,1,10,415,12,0,0,0,0,0,0,2,5,445
1,0,10,1,10,394,1,10,298,12,0,0,0,1,6,443,2,9,416
1,0,10,0,6,374,1,10,395,12,1,6,433,1,10,416,2,9,298
1,0,10,0,7,105,0,6,375,12,1,10,406,1,10,298,2,9,396
0,0,10,0,12,4,0,7,105,12,1,10,290,1,10,396,0,5,376
0,2,3,1,6,262,0,12,4,12,1,10,386,0,6,376,3,6,104
0,2,10,0,7,27,1,6,262,12,0,6,368,0,7,104,0,11,3
1,0,10,1,6,262,0,7,27,12,0,7,102,0,12,4,2,5,261
0,2,3,1,6,264,1,6,262,5,0,12,4,1,6,261,3,6,26
1,0,8,1,6,262,1,6,264,11,1,6,254,0,7,27,2,5,261
1,0,8,0,7,121,1,6,262,11,0,7,27,1,6,261,2,5,263
1,0,8,0,12,6,0,7,121,11,1,6,254,1,6,263,2,5,261
0,2,8,0,0,0,0,12,6,11,1,6,256,1,6,261,3,6,120
0,2,10,0,0,0,0,0,0,12,1,6,254,0,7,120,0,11,5
1,0,10,1,6,269,0,6,268,12,0,0,0,0,0,0,2,2,379
0,0,10,1,6,230,1,6,270,12,0,0,0,1,3,379,0,5,267
1,0,10,1,10,297,1,6,230,12,1,3,371,0,6,267,2,5,269
1,0,1,1,6,262,1,10,298,3,0,6,259,1,6,269,2,5,229
1,0,6,1,6,285,1,6,262,9,1,6,261,1,6,229,2,9,298
1,0,6,1,6,464,1,6,286,9,1,6,222,1,10,298,2,5,261
1,0,6,1,6,269,1,6,467,9,1,10,290,1,6,261,2,5,285
1,0,6,1,6,287,1,6,270,9,1,6,254,1,6,285,2,5,469
1,0,6,1,6,437,1,6,288,9,1,6,277,1,6,466,2,5,269
1,0,6,0,12,4,1,6,440,9,1,6,456,1,6,269,2,5,287
1,0,6,3,6,579,0,12,4,9,1,6,261,1,6,287,2,5,441
0,2,10,3,6,652,3,6,582,12,1,6,279,1,6,439,0,11,3
3,1,10,3,6,525,3,6,655,12,1,6,429,0,12,4,2,5,584
3,1,10,3,6,500,3,6,528,12,0,12,4,3,6,581,2,5,657
3,1,10,3,5,618,3,6,503,12,3,6,571,3,6,654,2,5,530
3,1,10,3,9,566,3,5,621,12,3,6,641,3,6,527,2,5,505
3,1,10,3,13,511,3,9,569,12,3,6,517,3,6,502,2,4,623
3,1,10,3,3,585,3,13,514,12,3,6,492,3,5,620,2,8,571
3,1,10,2,6,428,3,3,588,12,3,5,608,3,9,568,2,12,516
3,1,10,2,6,332,2,6,431,12,3,9,558,3,13,513,2,2,590
2,0,10,3,16,493,2,6,333,12,3,13,503,3,3,587,2,5,432
2,0,10,3,6,597,3,16,496,12,3,3,577,2,6,432,2,5,333
3,1,10,2,6,405,3,6,600,12,2,6,422,2,6,333,2,15,498
3,1,10,0,6,583,2,6,406,12,2,6,325,3,16,495,2,5,602
2,0,10,0,7,188,0,6,586,3,3,16,485,3,6,599,2,5,407
0,1,10,0,12,4,0,7,188,12,3,6,589,2,6,407,0,5,588
0,2,4,3,11,527,0,12,4,12,2,6,397,0,6,585,3,6,187
0,2,10,0,6,146,3,11,530,12,0,6,575,0,7,187,0,11,3
3,1,10,0,12,4,0,6,146,12,0,7,180,0,12,4,2,10,532
0,2,3,3,16,612,0,12,4,12,0,12,4,3,11,529,0,5,145
0,2,10,3,6,579,3,16,615,12,3,11,519,0,6,145,0,11,3
3,1,10,2,6,283,3,6,582,12,0,6,138,0,12,4,2,15,617
3,1,10,2,10,379,2,6,284,12,0,12,4,3,16,614,2,5,584
2,0,0,3,11,527,2,10,380,1,3,16,602,3,6,581,2,5,283
2,0,5,0,7,152,3,11,530,7,3,6,571,2,6,283,2,9,381
3,1,10,0,12,4,0,7,152,12,2,6,275,2,10,381,2,10,532
0,2,3,3,4,539,0,12,4,12,2,10,373,3,11,529,0,6,151
0,2,10,3,14,645,3,4,542,12,3,11,519,0,7,151,0,11,3
3,1,10,3,11,543,3,14,648,12,0,7,144,0,12,4,2,3,544
3,1,10,3,6,657,3,11,546,12,0,12,4,3,4,541,2,13,650
3,1,10,3,3,482,3,6,660,12,3,4,531,3,14,647,2,10,548
3,1,10,3,6,501,3,3,485,12,3,14,634,3,11,545,2,5,662
3,1,10,3,16,510,3,6,504,12,3,11,535,3,6,659,2,2,487
3,1,10,3,6,598,3,16,513,12,3,6,646,3,3,484,2,5,506
3,1,10,2,6,370,3,6,601,12,3,3,474,3,6,503,2,15,515
3,1,10,3,11,527,2,6,371,12,3,6,493,3,16,512,2,5,603
2,0,10,2,6,295,3,11,530,12,3,16,502,3,6,600,2,5,372
3,1,10,3,16,536,2,6,296,12,3,6,590,2,6,372,2,10,532
2,0,10,2,6,402,3,16,539,12,2,6,364,3,11,529,2,5,296
3,1,10,0,12,4,2,6,403,12,3,11,519,2,6,296,2,15,541
2,0,10,2,6,380,0,12,4,12,2,6,288,3,16,538,2,5,404
0,2,10,3,4,539,2,6,381,12,3,16,528,2,6,404,0,11,3
2,0,10,2,6,316,3,4,542,12,2,6,394,0,12,4,2,5,382
3,1,10,0,12,4,2,6,317,12,0,12,4,2,6,382,2,3,544
2,0,10,2,6,405,0,12,4,12,2,6,374,3,4,541,2,5,317
0,2,10,0,6,583,2,6,406,12,3,4,531,2,6,317,0,11,3
2,0,10,0,7,192,0,6,586,12,2,6,309,0,12,4,2,5,407
0,1,10,0,12,4,0,7,192,12,0,12,4,2,6,407,0,5,588
0,2,4,3,11,527,0,12,4,12,2,6,397,0,6,585,3,6,191
0,2,10,0,7,33,3,11,530,12,0,6,575,0,7,191,0,11,3
3,1,10,3,11,527,0,7,33,12,0,7,184,0,12,4,2,10,532
0,2,3,3,6,569,3,11,530,5,0,12,4,3,11,529,3,6,32
3,1,8,3,11,527,3,6,572,11,3,11,519,0,7,33,2,10,532
