,cap,ini,label,next2Cap,next2T,next2W,nextCap,nextT,nextW,palpite,prev2Cap,prev2T,prev2W,prevCap,prevT,prevW,simb,tipo,word
29,0,simb,O,0,0,0,0,0,0,O,min,conj-s,porque,min,v-fin,precisava,0,punc,.
30,maxmin,cap,O,min,pron-pers,me,min,prp,para,O,0,0,0,0,0,0,alpha,n,Tecia
31,min,ncap,O,min,v-fin,fazerem,min,pron-pers,me,O,0,0,0,maxmin,n,Tecia,alpha,prp,para
32,min,ncap,O,min,art,o,min,v-fin,fazerem,O,maxmin,n,Tecia,min,prp,para,alpha,pron-pers,me
33,min,ncap,O,min,n,trabalho,min,art,o,O,min,prp,para,min,pron-pers,me,alpha,v-fin,fazerem
34,min,ncap,O,min,prp,com,min,n,trabalho,O,min,pron-pers,me,min,v-fin,fazerem,alpha,art,o
35,min,ncap,O,min,art,o,min,prp,com,O,min,v-fin,fazerem,min,art,o,alpha,n,trabalho
36,min,ncap,O,min,v-pcp,gado,min,art,o,O,min,art,o,min,n,trabalho,alpha,prp,com
37,min,ncap,O,0,punc,.,min,v-pcp,gado,O,min,n,trabalho,min,prp,com,alpha,art,o
38,min,ncap,O,0,0,0,0,punc,.,O,min,prp,com,min,art,o,alpha,v-pcp,gado
39,0,simb,O,0,0,0,0,0,0,O,min,art,o,min,v-pcp,gado,0,punc,.
40,0,cap,O,0,n,pï¿½,min,prp,ao,O,0,0,0,0,0,0,0,prop,Punha-me
41,min,ncap,O,min,n,das,0,n,pï¿½,O,0,0,0,0,prop,Punha-me,alpha,prp,ao
42,0,ncap,O,min,n,pessoas,min,n,das,O,0,prop,Punha-me,min,prp,ao,0,n,pï¿½
43,min,ncap,O,min,conj-s,que,min,n,pessoas,O,min,prp,ao,0,n,pï¿½,alpha,n,das
44,min,ncap,O,min,n,teciam,min,conj-s,que,O,0,n,pï¿½,min,n,das,alpha,n,pessoas
45,min,ncap,O,min,art,a,min,n,teciam,O,min,n,das,min,n,pessoas,alpha,conj-s,que
46,min,ncap,O,min,v-inf,chegar,min,art,a,O,min,n,pessoas,min,conj-s,que,alpha,n,teciam
47,min,ncap,O,min,art,os,min,v-inf,chegar,O,min,conj-s,que,min,n,teciam,alpha,art,a
48,min,ncap,O,min,n,fios,min,art,os,O,min,n,teciam,min,art,a,alpha,v-inf,chegar
49,min,ncap,O,min,prp,para,min,n,fios,O,min,art,a,min,v-inf,chegar,alpha,art,os
50,min,ncap,O,min,v-inf,enfiarem,min,prp,para,O,min,v-inf,chegar,min,art,os,alpha,n,fios
51,min,ncap,O,min,art,as,min,v-inf,enfiarem,O,min,art,os,min,n,fios,alpha,prp,para
52,min,ncap,O,min,n,teias,min,art,as,O,min,n,fios,min,prp,para,alpha,v-inf,enfiarem
53,min,ncap,O,0,punc,",",min,n,teias,O,min,prp,para,min,v-inf,enfiarem,alpha,art,as
54,min,ncap,O,min,conj-c,e,0,punc,",",O,min,v-inf,enfiarem,min,art,as,alpha,n,teias
55,0,simb,O,min,v-fin,aprendi,min,conj-c,e,O,min,art,as,min,n,teias,0,punc,","
56,min,ncap,O,0,punc,.,min,v-fin,aprendi,O,min,n,teias,0,punc,",",alpha,conj-c,e
57,min,ncap,O,0,0,0,0,punc,.,O,0,punc,",",min,conj-c,e,alpha,v-fin,aprendi
58,0,simb,O,0,0,0,0,0,0,O,min,conj-c,e,min,v-fin,aprendi,0,punc,.
59,maxmin,cap,O,min,n,tecedeiras,min,pron-det,muitas,O,0,0,0,0,0,0,alpha,adv,Havia
60,min,ncap,O,min,n,naquela,min,n,tecedeiras,O,0,0,0,maxmin,adv,Havia,alpha,pron-det,muitas
61,min,ncap,O,0,n,ï¿½poca,min,n,naquela,O,maxmin,adv,Havia,min,pron-det,muitas,alpha,n,tecedeiras
62,min,ncap,O,0,punc,?,0,n,ï¿½poca,O,min,pron-det,muitas,min,n,tecedeiras,alpha,n,naquela
63,0,ncap,O,0,0,0,0,punc,?,O,min,n,tecedeiras,min,n,naquela,0,n,ï¿½poca
64,0,simb,O,0,0,0,0,0,0,O,min,n,naquela,0,n,ï¿½poca,0,punc,?
65,maxmin,cap,O,0,0,0,0,punc,.,O,0,0,0,0,0,0,alpha,adv,Havia
66,0,simb,O,0,0,0,0,0,0,O,0,0,0,maxmin,adv,Havia,0,punc,.
67,maxmin,cap,O,min,pron-det,todas,min,adv,quase,O,0,0,0,0,0,0,alpha,prp,Em
68,min,ncap,O,min,art,as,min,pron-det,todas,O,0,0,0,maxmin,prp,Em,alpha,adv,quase
69,min,ncap,O,min,n,casas,min,art,as,O,maxmin,prp,Em,min,adv,quase,alpha,pron-det,todas
70,min,ncap,O,min,v-fin,havia,min,n,casas,O,min,adv,quase,min,pron-det,todas,alpha,art,as
71,min,ncap,O,min,n,tecedeiras,min,v-fin,havia,O,min,pron-det,todas,min,art,as,alpha,n,casas
72,min,ncap,O,0,punc,.,min,n,tecedeiras,O,min,art,as,min,n,casas,alpha,v-fin,havia
73,min,ncap,O,0,0,0,0,punc,.,O,min,n,casas,min,v-fin,havia,alpha,n,tecedeiras
74,0,simb,O,0,0,0,0,0,0,O,min,v-fin,havia,min,n,tecedeiras,0,punc,.
75,maxmin,cap,O,0,n,peï¿½as,min,art,as,O,0,0,0,0,0,0,alpha,pron-det,Quais
76,min,ncap,O,min,conj-s,que,0,n,peï¿½as,O,0,0,0,maxmin,pron-det,Quais,alpha,art,as
77,0,ncap,O,min,n,teciam,min,conj-s,que,O,maxmin,pron-det,Quais,min,art,as,0,n,peï¿½as
78,min,ncap,O,min,pron-pers,nos,min,n,teciam,O,min,art,as,0,n,peï¿½as,alpha,conj-s,que
79,min,ncap,O,min,n,teares,min,pron-pers,nos,O,0,n,peï¿½as,min,conj-s,que,alpha,n,teciam
80,min,ncap,O,0,punc,?,min,n,teares,O,min,conj-s,que,min,n,teciam,alpha,pron-pers,nos
81,min,ncap,O,0,0,0,0,punc,?,O,min,n,teciam,min,pron-pers,nos,alpha,n,teares
82,0,simb,O,0,0,0,0,0,0,O,min,pron-pers,nos,min,n,teares,0,punc,?
83,maxmin,cap,O,min,n,mantas,0,punc,",",O,0,0,0,0,0,0,alpha,n,Linho
84,0,simb,O,min,prp,de,min,n,mantas,O,0,0,0,maxmin,n,Linho,0,punc,","
85,min,ncap,O,min,n,farrapos,min,prp,de,O,maxmin,n,Linho,0,punc,",",alpha,n,mantas
86,min,ncap,O,0,punc,",",min,n,farrapos,O,0,punc,",",min,n,mantas,alpha,prp,de
87,min,ncap,O,min,n,cobertores,0,punc,",",O,min,n,mantas,min,prp,de,alpha,n,farrapos
88,0,simb,O,0,punc,",",min,n,cobertores,O,min,prp,de,min,n,farrapos,0,punc,","
89,min,ncap,O,min,n,cobertas,0,punc,",",O,min,n,farrapos,0,punc,",",alpha,n,cobertores
90,0,simb,O,min,conj-c,e,min,n,cobertas,O,0,punc,",",min,n,cobertores,0,punc,","
91,min,ncap,O,min,art,o,min,conj-c,e,O,min,n,cobertores,0,punc,",",alpha,n,cobertas
92,min,ncap,O,min,n,burel,min,art,o,O,0,punc,",",min,n,cobertas,alpha,conj-c,e
93,min,ncap,O,0,punc,.,min,n,burel,O,min,n,cobertas,min,conj-c,e,alpha,art,o
94,min,ncap,O,0,0,0,0,punc,.,O,min,conj-c,e,min,art,o,alpha,n,burel
95,0,simb,O,0,0,0,0,0,0,O,min,art,o,min,n,burel,0,punc,.
96,maxmin,cap,O,min,v-fin,eram,0,n,peï¿½as,O,0,0,0,0,0,0,alpha,pron-det,Essas
97,0,ncap,O,min,prp,para,min,v-fin,eram,O,0,0,0,maxmin,pron-det,Essas,0,n,peï¿½as
98,min,ncap,O,min,v-inf,vender,min,prp,para,O,maxmin,pron-det,Essas,0,n,peï¿½as,alpha,v-fin,eram
99,min,ncap,O,0,punc,",",min,v-inf,vender,O,0,n,peï¿½as,min,v-fin,eram,alpha,prp,para
100,min,ncap,O,min,conj-c,ou,0,punc,",",O,min,v-fin,eram,min,prp,para,alpha,v-inf,vender
101,0,simb,O,min,prp,para,min,conj-c,ou,O,min,prp,para,min,v-inf,vender,0,punc,","
102,min,ncap,O,min,n,casa,min,prp,para,O,min,v-inf,vender,0,punc,",",alpha,conj-c,ou
103,min,ncap,O,0,punc,?,min,n,casa,O,0,punc,",",min,conj-c,ou,alpha,prp,para
104,min,ncap,O,0,0,0,0,punc,?,O,min,conj-c,ou,min,prp,para,alpha,n,casa
105,0,simb,O,0,0,0,0,0,0,O,min,prp,para,min,n,casa,0,punc,?
106,max,cap,O,min,n,parte,min,adj,maior,O,0,0,0,0,0,0,alpha,art,A
107,min,ncap,O,min,v-fin,era,min,n,parte,O,0,0,0,max,art,A,alpha,adj,maior
108,min,ncap,O,min,prp,para,min,v-fin,era,O,max,art,A,min,adj,maior,alpha,n,parte
109,min,ncap,O,min,n,casa,min,prp,para,O,min,adj,maior,min,n,parte,alpha,v-fin,era
110,min,ncap,O,min,conj-c,e,min,n,casa,O,min,n,parte,min,v-fin,era,alpha,prp,para
111,min,ncap,O,min,prp,para,min,conj-c,e,O,min,v-fin,era,min,prp,para,alpha,n,casa
112,min,ncap,O,min,art,os,min,prp,para,O,min,prp,para,min,n,casa,alpha,conj-c,e
113,min,ncap,O,min,n,amigos,min,art,os,O,min,n,casa,min,conj-c,e,alpha,prp,para
114,min,ncap,O,0,punc,.,min,n,amigos,O,min,conj-c,e,min,prp,para,alpha,art,os
115,min,ncap,O,0,n,ï¿½s,0,punc,.,O,min,prp,para,min,art,os,alpha,n,amigos
116,0,simb,O,min,n,vezes,0,n,ï¿½s,O,min,art,os,min,n,amigos,0,punc,.
117,0,ncap,O,min,v-fin,ia,min,n,vezes,O,min,n,amigos,0,punc,.,0,n,ï¿½s
118,min,ncap,O,min,v-inf,tecer,min,v-fin,ia,O,0,punc,.,0,n,ï¿½s,alpha,n,vezes
119,min,ncap,O,0,n,atï¿½,min,v-inf,tecer,O,0,n,ï¿½s,min,n,vezes,alpha,v-fin,ia
120,min,ncap,O,min,prp,para,0,n,atï¿½,O,min,n,vezes,min,v-fin,ia,alpha,v-inf,tecer
121,0,ncap,O,min,n,aldeias,min,prp,para,O,min,v-fin,ia,min,v-inf,tecer,0,n,atï¿½
122,min,ncap,O,min,prp,de,min,n,aldeias,O,min,v-inf,tecer,0,n,atï¿½,alpha,prp,para
123,min,ncap,O,min,n,fora,min,prp,de,O,0,n,atï¿½,min,prp,para,alpha,n,aldeias
124,min,ncap,O,0,punc,",",min,n,fora,O,min,prp,para,min,n,aldeias,alpha,prp,de
125,min,ncap,O,min,prp,para,0,punc,",",O,min,n,aldeias,min,prp,de,alpha,n,fora
126,0,simb,O,min,pron-indp,quem,min,prp,para,O,min,prp,de,min,n,fora,0,punc,","
127,min,ncap,O,min,pron-pers,me,min,pron-indp,quem,O,min,n,fora,0,punc,",",alpha,prp,para
128,min,ncap,O,min,n,pedia,min,pron-pers,me,O,0,punc,",",min,prp,para,alpha,pron-indp,quem
129,min,ncap,O,0,punc,.,min,n,pedia,O,min,prp,para,min,pron-indp,quem,alpha,pron-pers,me
130,min,ncap,O,0,0,0,0,punc,.,O,min,pron-indp,quem,min,pron-pers,me,alpha,n,pedia
131,0,simb,O,0,0,0,0,0,0,O,min,pron-pers,me,min,n,pedia,0,punc,.
132,maxmin,cap,O,min,v-fin,guardavam,min,pron-pers,se,O,0,0,0,0,0,0,alpha,adv,Onde
133,min,ncap,O,0,punc,?,min,v-fin,guardavam,O,0,0,0,maxmin,adv,Onde,alpha,pron-pers,se
134,min,ncap,O,0,0,0,0,punc,?,O,maxmin,adv,Onde,min,pron-pers,se,alpha,v-fin,guardavam
135,0,simb,O,0,0,0,0,0,0,O,min,pron-pers,se,min,v-fin,guardavam,0,punc,?
136,0,cap,O,min,n,caixas,min,n,nas,O,0,0,0,0,0,0,0,prop,Guardavam-se
137,min,ncap,O,min,conj-c,ou,min,n,caixas,O,0,0,0,0,prop,Guardavam-se,alpha,n,nas
138,min,ncap,O,0,n,penduravam-se,min,conj-c,ou,O,0,prop,Guardavam-se,min,n,nas,alpha,n,caixas
139,min,ncap,O,min,n,nas,0,n,penduravam-se,O,min,n,nas,min,n,caixas,alpha,conj-c,ou
140,0,ncap,O,min,n,traves,min,n,nas,O,min,n,caixas,min,conj-c,ou,0,n,penduravam-se
141,min,ncap,O,min,n,dos,min,n,traves,O,min,conj-c,ou,0,n,penduravam-se,alpha,n,nas
142,min,ncap,O,min,v-pcp,sobrados,min,n,dos,O,0,n,penduravam-se,min,n,nas,alpha,n,traves
143,min,ncap,O,min,prp,para,min,v-pcp,sobrados,O,min,n,nas,min,n,traves,alpha,n,dos
144,min,ncap,O,0,n,nï¿½o,min,prp,para,O,min,n,traves,min,n,dos,alpha,v-pcp,sobrados
145,min,ncap,O,min,v-inf,dar,0,n,nï¿½o,O,min,n,dos,min,v-pcp,sobrados,alpha,prp,para
146,0,ncap,O,min,art,a,min,v-inf,dar,O,min,v-pcp,sobrados,min,prp,para,0,n,nï¿½o
147,min,ncap,O,0,n,traï¿½a,min,art,a,O,min,prp,para,0,n,nï¿½o,alpha,v-inf,dar
148,min,ncap,O,min,n,nas,0,n,traï¿½a,O,0,n,nï¿½o,min,v-inf,dar,alpha,art,a
149,0,ncap,O,0,n,peï¿½as,min,n,nas,O,min,v-inf,dar,min,art,a,0,n,traï¿½a
150,min,ncap,O,min,prp,de,0,n,peï¿½as,O,min,art,a,0,n,traï¿½a,alpha,n,nas
151,0,ncap,O,0,n,lï¿½,min,prp,de,O,0,n,traï¿½a,min,n,nas,0,n,peï¿½as
152,min,ncap,O,0,punc,.,0,n,lï¿½,O,min,n,nas,0,n,peï¿½as,alpha,prp,de
153,0,ncap,O,0,0,0,0,punc,.,O,0,n,peï¿½as,min,prp,de,0,n,lï¿½
154,0,simb,O,0,0,0,0,0,0,O,min,prp,de,0,n,lï¿½,0,punc,.
155,maxmin,cap,O,min,v-fin,chamava,min,pron-pers,se,O,0,0,0,0,0,0,alpha,adv,Como
156,min,ncap,O,min,prp,ao,min,v-fin,chamava,O,0,0,0,maxmin,adv,Como,alpha,pron-pers,se
157,min,ncap,O,min,n,conjunto,min,prp,ao,O,maxmin,adv,Como,min,pron-pers,se,alpha,v-fin,chamava
158,min,ncap,O,min,n,dessas,min,n,conjunto,O,min,pron-pers,se,min,v-fin,chamava,alpha,prp,ao
159,min,ncap,O,0,n,peï¿½as,min,n,dessas,O,min,v-fin,chamava,min,prp,ao,alpha,n,conjunto
160,min,ncap,O,min,pron-det,todas,0,n,peï¿½as,O,min,prp,ao,min,n,conjunto,alpha,n,dessas
161,0,ncap,O,0,punc,?,min,pron-det,todas,O,min,n,conjunto,min,n,dessas,0,n,peï¿½as
162,min,ncap,O,0,0,0,0,punc,?,O,min,n,dessas,0,n,peï¿½as,alpha,pron-det,todas
163,0,simb,O,0,0,0,0,0,0,O,0,n,peï¿½as,min,pron-det,todas,0,punc,?
164,0,cap,O,0,n,'limpeza,min,art,a,O,0,0,0,0,0,0,0,n,Chamava-se
165,min,ncap,O,min,v-pcp,da,0,n,'limpeza,O,0,0,0,0,n,Chamava-se,alpha,art,a
166,0,simb,O,0,n,casa',min,v-pcp,da,O,0,n,Chamava-se,min,art,a,0,n,'limpeza
167,min,ncap,O,0,punc,.,0,n,casa',O,min,art,a,0,n,'limpeza,alpha,v-pcp,da
168,0,ncap,O,0,0,0,0,punc,.,O,0,n,'limpeza,min,v-pcp,da,0,n,casa'
169,0,simb,O,0,0,0,0,0,0,O,min,v-pcp,da,0,n,casa',0,punc,.
170,maxmin,cap,O,min,n,valor,min,adj,grande,O,0,0,0,0,0,0,alpha,v-fin,Tinha
171,min,ncap,O,min,art,a,min,n,valor,O,0,0,0,maxmin,v-fin,Tinha,alpha,adj,grande
172,min,ncap,O,0,n,'limpeza,min,art,a,O,maxmin,v-fin,Tinha,min,adj,grande,alpha,n,valor
173,min,ncap,O,min,v-pcp,da,0,n,'limpeza,O,min,adj,grande,min,n,valor,alpha,art,a
174,0,simb,O,0,n,casa',min,v-pcp,da,O,min,n,valor,min,art,a,0,n,'limpeza
175,min,ncap,O,0,punc,?,0,n,casa',O,min,art,a,0,n,'limpeza,alpha,v-pcp,da
176,0,ncap,O,0,0,0,0,punc,?,O,0,n,'limpeza,min,v-pcp,da,0,n,casa'
177,0,simb,O,0,0,0,0,0,0,O,min,v-pcp,da,0,n,casa',0,punc,?
178,maxmin,cap,O,min,n,valor,min,adv,muito,O,0,0,0,0,0,0,alpha,v-fin,Tinha
179,min,ncap,O,0,punc,",",min,n,valor,O,0,0,0,maxmin,v-fin,Tinha,alpha,adv,muito
180,min,ncap,O,min,adv,ainda,0,punc,",",O,maxmin,v-fin,Tinha,min,adv,muito,alpha,n,valor
181,0,simb,O,min,adv,hoje,min,adv,ainda,O,min,adv,muito,min,n,valor,0,punc,","
182,min,ncap,O,min,v-fin,tem,min,adv,hoje,O,min,n,valor,0,punc,",",alpha,adv,ainda
183,min,ncap,O,0,punc,.,min,v-fin,tem,O,0,punc,",",min,adv,ainda,alpha,adv,hoje
184,min,ncap,O,0,0,0,0,punc,.,O,min,adv,ainda,min,adv,hoje,alpha,v-fin,tem
185,0,simb,O,0,0,0,0,0,0,O,min,adv,hoje,min,v-fin,tem,0,punc,.
186,maxmin,cap,O,min,n,tenho,min,adv,ainda,O,0,0,0,0,0,0,alpha,pron-pers,Eu
187,min,ncap,O,0,n,lenï¿½ï¿½is,min,n,tenho,O,0,0,0,maxmin,pron-pers,Eu,alpha,adv,ainda
188,min,ncap,O,min,n,bordados,0,n,lenï¿½ï¿½is,O,maxmin,pron-pers,Eu,min,adv,ainda,alpha,n,tenho
189,0,ncap,O,min,conj-c,e,min,n,bordados,O,min,adv,ainda,min,n,tenho,0,n,lenï¿½ï¿½is
190,min,ncap,O,min,v-pcp,desfiados,min,conj-c,e,O,min,n,tenho,0,n,lenï¿½ï¿½is,alpha,n,bordados
191,min,ncap,O,0,punc,.,min,v-pcp,desfiados,O,0,n,lenï¿½ï¿½is,min,n,bordados,alpha,conj-c,e
192,min,ncap,O,0,0,0,0,punc,.,O,min,n,bordados,min,conj-c,e,alpha,v-pcp,desfiados
193,0,simb,O,0,0,0,0,0,0,O,min,conj-c,e,min,v-pcp,desfiados,0,punc,.
194,0,cap,O,min,n,enfeitar,min,prp,para,O,0,0,0,0,0,0,0,n,Usavam-se
195,min,ncap,O,min,art,a,min,n,enfeitar,O,0,0,0,0,n,Usavam-se,alpha,prp,para
196,min,ncap,O,min,n,casa,min,art,a,O,0,n,Usavam-se,min,prp,para,alpha,n,enfeitar
197,min,ncap,O,min,adv,quando,min,n,casa,O,min,prp,para,min,n,enfeitar,alpha,art,a
198,min,ncap,O,min,n,vinha,min,adv,quando,O,min,n,enfeitar,min,art,a,alpha,n,casa
199,min,ncap,O,min,art,o,min,n,vinha,O,min,art,a,min,n,casa,alpha,adv,quando
200,min,ncap,O,min,n,padre,min,art,o,O,min,n,casa,min,adv,quando,alpha,n,vinha
201,min,ncap,O,min,n,benzer,min,n,padre,O,min,adv,quando,min,n,vinha,alpha,art,o
202,min,ncap,O,min,n,na,min,n,benzer,O,min,n,vinha,min,art,o,alpha,n,padre
203,min,ncap,O,0,prop,Pï¿½scoa,min,n,na,O,min,art,o,min,n,padre,alpha,n,benzer
204,min,ncap,O,0,punc,.,0,prop,Pï¿½scoa,O,min,n,padre,min,n,benzer,alpha,n,na
205,0,cap,B_TEMPO,0,0,0,0,punc,.,B_LOCAL,min,n,benzer,min,n,na,0,prop,Pï¿½scoa
206,0,simb,O,0,0,0,0,0,0,O,min,n,na,0,prop,Pï¿½scoa,0,punc,.
207,maxmin,cap,O,min,v-fin,fazia,0,n,atï¿½,O,0,0,0,0,0,0,alpha,pron-pers,Eu
208,0,ncap,O,min,n,renda,min,v-fin,fazia,O,0,0,0,maxmin,pron-pers,Eu,0,n,atï¿½
209,min,ncap,O,min,prp,de,min,n,renda,O,maxmin,pron-pers,Eu,0,n,atï¿½,alpha,v-fin,fazia
210,min,ncap,O,0,n,nï¿½,min,prp,de,O,0,n,atï¿½,min,v-fin,fazia,alpha,n,renda
211,min,ncap,O,0,punc,",",0,n,nï¿½,O,min,v-fin,fazia,min,n,renda,alpha,prp,de
212,0,ncap,O,min,v-pcp,parecido,0,punc,",",O,min,n,renda,min,prp,de,0,n,nï¿½
213,0,simb,O,min,prp,com,min,v-pcp,parecido,O,min,prp,de,0,n,nï¿½,0,punc,","
214,min,ncap,O,min,art,uma,min,prp,com,O,0,n,nï¿½,0,punc,",",alpha,v-pcp,parecido
215,min,ncap,O,min,n,rede,min,art,uma,O,0,punc,",",min,v-pcp,parecido,alpha,prp,com
216,min,ncap,O,min,conj-c,e,min,n,rede,O,min,v-pcp,parecido,min,prp,com,alpha,art,uma
217,min,ncap,O,min,adv,depois,min,conj-c,e,O,min,prp,com,min,art,uma,alpha,n,rede
218,min,ncap,O,0,n,bordava-se,min,adv,depois,O,min,art,uma,min,n,rede,alpha,conj-c,e
219,min,ncap,O,min,prp,por,0,n,bordava-se,O,min,n,rede,min,conj-c,e,alpha,adv,depois
220,0,ncap,O,min,n,cima,min,prp,por,O,min,conj-c,e,min,adv,depois,0,n,bordava-se
221,min,ncap,O,min,n,dessa,min,n,cima,O,min,adv,depois,0,n,bordava-se,alpha,prp,por
222,min,ncap,O,min,n,rede,min,n,dessa,O,0,n,bordava-se,min,prp,por,alpha,n,cima
223,min,ncap,O,0,punc,.,min,n,rede,O,min,prp,por,min,n,cima,alpha,n,dessa
224,min,ncap,O,0,0,0,0,punc,.,O,min,n,cima,min,n,dessa,alpha,n,rede
225,0,simb,O,0,0,0,0,0,0,O,min,n,dessa,min,n,rede,0,punc,.
226,maxmin,cap,O,min,n,tece,min,adv,ainda,O,0,0,0,0,0,0,alpha,adv,Hoje
227,min,ncap,O,0,punc,?,min,n,tece,O,0,0,0,maxmin,adv,Hoje,alpha,adv,ainda
228,min,ncap,O,0,0,0,0,punc,?,O,maxmin,adv,Hoje,min,adv,ainda,alpha,n,tece
229,0,simb,O,0,0,0,0,0,0,O,min,adv,ainda,min,n,tece,0,punc,?
230,maxmin,cap,O,min,pron-det,outro,min,n,no,O,0,0,0,0,0,0,alpha,adv,Ainda
231,min,ncap,O,min,n,dia,min,pron-det,outro,O,0,0,0,maxmin,adv,Ainda,alpha,n,no
232,min,ncap,O,min,n,teci,min,n,dia,O,maxmin,adv,Ainda,min,n,no,alpha,pron-det,outro
233,min,ncap,O,0,punc,",",min,n,teci,O,min,n,no,min,pron-det,outro,alpha,n,dia
234,min,ncap,O,min,n,tenho,0,punc,",",O,min,pron-det,outro,min,n,dia,alpha,n,teci
235,0,simb,O,min,art,uma,min,n,tenho,O,min,n,dia,min,n,teci,0,punc,","
236,min,ncap,O,0,n,peï¿½a,min,art,uma,O,min,n,teci,0,punc,",",alpha,n,tenho
237,min,ncap,O,min,n,posta,0,n,peï¿½a,O,0,punc,",",min,n,tenho,alpha,art,uma
238,0,ncap,O,0,punc,.,min,n,posta,O,min,n,tenho,min,art,uma,0,n,peï¿½a
239,min,ncap,O,0,0,0,0,punc,.,O,min,art,uma,0,n,peï¿½a,alpha,n,posta
240,0,simb,O,0,0,0,0,0,0,O,0,n,peï¿½a,min,n,posta,0,punc,.
241,maxmin,cap,O,min,pron-det,minha,min,art,a,O,0,0,0,0,0,0,alpha,conj-c,Mas
242,min,ncap,O,min,n,coluna,min,pron-det,minha,O,0,0,0,maxmin,conj-c,Mas,alpha,art,a
243,min,ncap,O,0,n,nï¿½o,min,n,coluna,O,maxmin,conj-c,Mas,min,art,a,alpha,pron-det,minha
244,min,ncap,O,min,v-fin,deixa,0,n,nï¿½o,O,min,art,a,min,pron-det,minha,alpha,n,coluna
245,0,ncap,O,0,punc,.,min,v-fin,deixa,O,min,pron-det,minha,min,n,coluna,0,n,nï¿½o
246,min,ncap,O,0,0,0,0,punc,.,O,min,n,coluna,0,n,nï¿½o,alpha,v-fin,deixa
247,0,simb,O,0,0,0,0,0,0,O,0,n,nï¿½o,min,v-fin,deixa,0,punc,.
248,maxmin,cap,O,min,n,dias,min,num,dois,O,0,0,0,0,0,0,alpha,v-fin,Estive
