cap,ini,next2Cap,next2T,next2W,nextCap,nextT,nextW,palpite,prev2Cap,prev2T,prev2W,prevCap,prevT,prevW,simb,tipo,word
3,1,3,7,1521,3,3,401,11,3,7,986,3,13,1428,2,16,955
3,1,0,14,7,3,7,1586,11,3,13,1297,3,17,950,2,2,576
3,1,3,4,724,0,14,7,11,3,17,871,3,3,571,2,6,1761
0,2,3,15,360,3,4,754,11,3,3,535,3,7,1754,0,13,6
3,1,0,14,9,3,15,376,11,3,7,1591,0,14,7,2,3,929
3,1,0,0,0,0,14,9,11,0,14,7,3,4,924,2,14,551
0,2,0,0,0,0,0,0,11,3,4,847,3,15,546,0,13,8
2,0,3,7,1515,3,9,1159,11,0,0,0,0,0,0,2,1,231
3,1,3,7,1123,3,7,1580,11,0,0,0,2,2,227,2,8,1334
3,1,0,7,1664,3,7,1175,11,2,2,212,3,9,1328,2,6,1755
3,1,0,14,47,0,7,1734,11,3,9,1205,3,7,1748,2,6,1350
0,1,0,0,0,0,14,49,11,3,7,1585,3,7,1344,0,6,1909
0,2,0,0,0,0,0,0,11,3,7,1219,0,7,1902,0,13,49
2,0,0,0,0,0,14,9,11,0,0,0,0,0,0,2,1,231
0,2,0,0,0,0,0,0,11,0,0,0,2,2,227,0,13,8
2,0,3,9,1554,3,2,1406,11,0,0,0,0,0,0,2,12,172
3,1,3,3,384,3,9,1621,11,0,0,0,2,13,170,2,1,1581
3,1,3,7,477,3,3,401,11,2,13,158,3,2,1574,2,8,1796
3,1,3,15,941,3,7,498,11,3,2,1429,3,9,1789,2,2,576
3,1,3,7,1515,3,15,983,11,3,9,1622,3,3,571,2,6,673
3,1,0,14,9,3,7,1580,11,3,3,535,3,7,668,2,14,1158
3,1,0,0,0,0,14,9,11,3,7,621,3,15,1152,2,6,1755
0,2,0,0,0,0,0,0,11,3,15,1047,3,7,1748,0,13,8
2,0,0,7,1246,3,3,401,11,0,0,0,0,0,0,2,8,369
3,1,3,5,1348,0,7,1301,11,0,0,0,2,9,364,2,2,576
0,1,3,7,1519,3,5,1408,11,2,9,343,3,3,571,0,6,1476
3,1,3,11,1149,3,7,1584,11,3,3,535,0,7,1469,2,4,1583
3,1,3,7,1512,3,11,1203,11,0,7,1334,3,5,1576,2,6,1759
3,1,0,14,47,3,7,1577,11,3,5,1431,3,7,1752,2,10,1378
3,1,0,0,0,0,14,49,11,3,7,1589,3,11,1372,2,6,1752
0,2,0,0,0,0,0,0,11,3,11,1245,3,7,1745,0,13,49
2,0,3,7,1045,0,14,7,11,0,0,0,0,0,0,2,6,268
0,2,3,13,640,3,7,1092,11,0,0,0,2,7,264,0,13,6
3,1,3,7,835,3,13,667,11,2,7,248,0,14,7,2,6,1267
3,1,0,14,7,3,7,874,11,0,14,7,3,7,1261,2,12,842
3,1,3,7,520,0,14,7,11,3,7,1145,3,13,837,2,6,1049
0,2,0,14,7,3,7,542,11,3,13,772,3,7,1044,0,13,6
3,1,3,7,519,0,14,7,11,3,7,955,0,14,7,2,6,717
0,2,3,4,724,3,7,541,11,0,14,7,3,7,712,0,13,6
3,1,3,3,1166,3,4,754,11,3,7,663,0,14,7,2,6,716
3,1,3,7,449,3,3,1220,11,0,14,7,3,7,711,2,3,929
3,1,0,14,9,3,7,468,11,3,7,662,3,4,924,2,2,1395
3,1,0,0,0,0,14,9,11,3,4,847,3,3,1389,2,6,643
0,2,0,0,0,0,0,0,11,3,3,1262,3,7,638,0,13,8
2,0,3,15,770,0,7,1301,11,0,0,0,0,0,0,2,8,188
0,1,3,13,1206,3,15,800,11,0,0,0,2,9,186,0,6,1476
3,1,3,17,1609,3,13,1260,11,2,9,173,0,7,1469,2,14,975
3,1,0,14,7,3,17,1676,11,0,7,1334,3,15,970,2,12,1435
3,1,3,4,1184,0,14,7,11,3,15,890,3,13,1428,2,16,1851
0,2,3,13,1206,3,4,1238,11,3,13,1297,3,17,1844,0,13,6
3,1,3,7,470,3,13,1260,11,3,17,1674,0,14,7,2,3,1413
3,1,0,14,47,3,7,490,11,0,14,7,3,4,1407,2,12,1435
3,1,0,0,0,0,14,49,11,3,4,1278,3,13,1428,2,6,665
0,2,0,0,0,0,0,0,11,3,13,1297,3,7,660,0,13,49
1,0,3,7,1209,3,1,1083,11,0,0,0,0,0,0,2,2,52
3,1,3,15,769,3,7,1263,11,0,0,0,1,3,51,2,0,1258
3,1,3,13,1206,3,15,799,11,1,3,46,3,1,1252,2,6,1438
3,1,3,7,470,3,13,1260,11,3,1,1138,3,7,1431,2,14,974
3,1,3,4,724,3,7,490,11,3,7,1300,3,15,969,2,12,1435
3,1,3,13,1206,3,4,754,11,3,15,889,3,13,1428,2,6,665
3,1,3,3,1183,3,13,1260,11,3,13,1297,3,7,660,2,3,929
3,1,3,7,331,3,3,1237,11,3,7,615,3,4,924,2,12,1435
3,1,0,14,9,3,7,347,11,3,4,847,3,13,1428,2,2,1412
3,1,0,7,1665,0,14,9,11,3,13,1297,3,3,1406,2,6,522
0,2,3,7,1620,0,7,1736,11,3,3,1277,3,7,517,0,13,8
0,1,3,15,950,3,7,1689,11,3,7,485,0,14,9,0,6,1911
3,1,3,17,1516,3,15,992,11,0,14,9,0,7,1904,2,6,1864
3,1,0,7,391,3,17,1581,11,0,7,1723,3,7,1857,2,14,1167
3,1,3,13,1206,0,7,408,11,3,7,1683,3,15,1161,2,16,1756
0,1,3,7,313,3,13,1260,11,3,15,1055,3,17,1749,0,6,583
3,1,3,13,640,3,7,329,11,3,17,1586,0,7,578,2,12,1435
3,1,3,7,885,3,13,667,11,0,7,542,3,13,1428,2,6,504
3,1,0,14,7,3,7,925,11,3,13,1297,3,7,499,2,12,842
3,1,3,13,1206,0,14,7,11,3,7,469,3,13,837,2,6,1100
0,2,3,10,1349,3,13,1260,11,3,13,772,3,7,1095,0,13,6
3,1,3,11,1053,3,10,1409,11,3,7,996,0,14,7,2,12,1435
3,1,3,7,1222,3,11,1100,11,0,14,7,3,13,1428,2,9,1584
3,1,0,14,9,3,7,1276,11,3,13,1297,3,10,1577,2,10,1275
3,1,0,0,0,0,14,9,11,3,10,1432,3,11,1269,2,6,1451
0,2,0,0,0,0,0,0,11,3,11,1153,3,7,1444,0,13,8
2,0,3,15,935,3,11,1501,11,0,0,0,0,0,0,2,1,332
3,1,0,14,47,3,15,977,11,0,0,0,2,2,327,2,10,1676
3,1,0,0,0,0,14,49,11,2,2,310,3,11,1669,2,14,1152
0,2,0,0,0,0,0,0,11,3,11,1514,3,15,1146,0,13,49
0,0,3,7,455,3,7,1178,11,0,0,0,0,0,0,0,11,224
3,1,3,4,1184,3,7,474,11,0,0,0,0,12,222,2,6,1353
3,1,0,7,1227,3,4,1238,11,0,12,207,3,7,1347,2,6,649
3,1,3,7,1126,0,7,1281,11,3,7,1222,3,7,644,2,3,1413
0,1,3,7,1573,3,7,1178,11,3,7,599,3,4,1407,0,6,1456
3,1,3,7,715,3,7,1640,11,3,4,1278,0,7,1449,2,6,1353
3,1,3,18,1477,3,7,744,11,0,7,1315,3,7,1347,2,6,1815
3,1,3,13,1206,3,18,1541,11,3,7,1222,3,7,1808,2,6,919
3,1,0,7,1163,3,13,1260,11,3,7,1639,3,7,914,2,17,1716
3,1,3,17,634,0,7,1217,11,3,7,839,3,18,1709,2,12,1435
0,1,3,3,280,3,17,660,11,3,18,1551,3,13,1428,0,6,1392
3,1,0,7,1574,3,3,289,11,3,13,1297,0,7,1386,2,16,835
3,1,3,7,1126,0,7,1641,11,0,7,1259,3,17,830,2,2,464
0,1,0,7,1246,3,7,1178,11,3,17,765,3,3,459,0,6,1816
3,1,3,13,640,0,7,1301,11,3,3,433,0,7,1809,2,6,1353
0,1,0,7,1034,3,13,667,11,0,7,1640,3,7,1347,0,6,1476
3,1,0,14,9,0,7,1079,11,3,7,1222,0,7,1469,2,12,842
0,1,0,0,0,0,14,9,11,0,7,1334,3,13,837,0,6,1254
0,2,0,0,0,0,0,0,11,3,13,772,0,7,1248,0,13,8
2,0,3,15,495,3,11,1501,11,0,0,0,0,0,0,2,1,127
3,1,3,13,346,3,15,516,11,0,0,0,2,2,125,2,10,1676
3,1,3,7,569,3,13,362,11,2,2,116,3,11,1669,2,14,691
3,1,3,7,682,3,7,592,11,3,11,1514,3,15,686,2,12,537
3,1,0,7,1246,3,7,711,11,3,15,637,3,13,532,2,6,767
3,1,3,9,1554,0,7,1301,11,3,13,499,3,7,762,2,6,886
0,1,0,14,47,3,9,1621,11,3,7,707,3,7,881,0,6,1476
3,1,0,0,0,0,14,49,11,3,7,808,0,7,1469,2,8,1796
0,2,0,0,0,0,0,0,11,0,7,1334,3,9,1789,0,13,49
0,0,0,7,4,3,3,289,11,0,0,0,0,0,0,0,6,112
3,1,3,18,630,0,7,4,11,0,0,0,0,7,110,2,2,464
0,2,0,7,471,3,18,655,11,0,7,102,3,3,459,0,6,3
3,1,0,14,9,0,7,491,11,3,3,433,0,7,4,2,17,830
0,1,0,0,0,0,14,9,11,0,7,4,3,18,825,0,6,666
0,2,0,0,0,0,0,0,11,3,18,760,0,7,661,0,13,8
2,0,3,7,1597,3,1,969,11,0,0,0,0,0,0,2,14,431
3,1,3,3,280,3,7,1664,11,0,0,0,2,15,426,2,0,1144
3,1,0,7,4,3,3,289,11,2,15,400,3,1,1138,2,6,1839
3,1,3,18,630,0,7,4,11,3,1,1034,3,7,1832,2,2,464
0,2,0,7,471,3,18,655,11,3,7,1662,3,3,459,0,6,3
3,1,0,14,47,0,7,491,11,3,3,433,0,7,4,2,17,830
0,1,0,0,0,0,14,49,11,0,7,4,3,18,825,0,6,666
0,2,0,0,0,0,0,0,11,3,18,760,0,7,661,0,13,49
2,0,3,7,1597,3,2,1160,11,0,0,0,0,0,0,2,14,431
3,1,0,14,7,3,7,1664,11,0,0,0,2,15,426,2,1,1335
3,1,3,2,310,0,14,7,11,2,15,400,3,2,1329,2,6,1839
0,2,3,2,944,3,2,325,11,3,2,1206,3,7,1832,0,13,6
3,1,3,15,1523,3,2,986,11,3,7,1662,0,14,7,2,1,500
3,1,0,14,9,3,15,1588,11,0,14,7,3,2,495,2,1,1161
3,1,0,0,0,0,14,9,11,3,2,465,3,2,1155,2,14,1763
0,2,0,0,0,0,0,0,11,3,2,1049,3,15,1756,0,13,8
2,0,3,7,1529,3,2,325,11,0,0,0,0,0,0,2,10,197
3,1,0,7,1018,3,7,1595,11,0,0,0,2,11,195,2,1,500
3,1,3,7,438,0,7,1063,11,2,11,181,3,2,495,2,6,1770
0,1,3,4,724,3,7,457,11,3,2,465,3,7,1763,0,6,1238
3,1,3,18,675,3,4,754,11,3,7,1600,0,7,1232,2,6,632
3,1,0,14,9,3,18,704,11,0,7,1120,3,7,627,2,3,929
3,1,0,0,0,0,14,9,11,3,7,584,3,4,924,2,17,879
0,2,0,0,0,0,0,0,11,3,4,847,3,18,874,0,13,8
0,0,3,7,749,3,13,1260,11,0,0,0,0,0,0,0,6,443
3,1,3,3,280,3,7,779,11,0,0,0,0,7,438,2,12,1435
3,1,3,7,470,3,3,289,11,0,7,412,3,13,1428,2,6,954
3,1,3,2,1344,3,7,490,11,3,13,1297,3,7,949,2,2,464
3,1,3,7,1625,3,2,1403,11,3,7,870,3,3,459,2,6,665
3,1,3,3,1166,3,7,1694,11,3,3,433,3,7,660,2,1,1578
3,1,3,7,1195,3,3,1220,11,3,7,615,3,2,1571,2,6,1869
3,1,3,7,425,3,7,1249,11,3,2,1426,3,7,1862,2,2,1395
3,1,3,7,1120,3,7,442,11,3,7,1688,3,3,1389,2,6,1424
3,1,0,12,234,3,7,1172,11,3,3,1262,3,7,1418,2,6,617
3,1,0,14,9,0,12,242,11,3,7,1289,3,7,612,2,6,1347
0,0,0,0,0,0,14,9,1,3,7,571,3,7,1341,0,11,368
0,2,0,0,0,0,0,0,11,3,7,1217,0,12,363,0,13,8
2,0,3,15,844,0,7,408,11,0,0,0,0,0,0,2,10,197
0,1,3,7,1391,3,15,883,11,0,0,0,2,11,195,0,6,583
3,1,3,13,640,3,7,1453,11,2,11,181,0,7,578,2,14,1058
3,1,0,7,1161,3,13,667,11,0,7,542,3,15,1053,2,6,1628
3,1,0,14,7,0,7,1215,11,3,15,961,3,7,1621,2,12,842
0,1,3,18,1208,0,14,7,11,3,7,1472,3,13,837,0,6,1390
0,2,3,13,533,3,18,1262,11,3,13,772,0,7,1384,0,13,6
3,1,3,3,1586,3,13,555,11,0,7,1257,0,14,7,2,17,1437
3,1,3,7,1375,3,3,1653,11,0,14,7,3,18,1430,2,12,730
3,1,3,4,724,3,7,1437,11,3,18,1299,3,13,725,2,2,1828
3,1,3,2,660,3,4,754,11,3,13,674,3,3,1821,2,6,1612
3,1,0,7,439,3,2,689,11,3,3,1652,3,7,1605,2,3,929
3,1,3,13,1266,0,7,458,11,3,7,1457,3,4,924,2,1,864
0,1,3,7,511,3,13,1321,11,3,4,847,3,2,859,0,6,633
3,1,3,7,681,3,7,533,11,3,2,792,0,7,628,2,12,1496
3,1,3,7,1375,3,7,710,11,0,7,585,3,13,1489,2,6,708
3,1,0,14,9,3,7,1437,11,3,13,1353,3,7,703,2,6,885
3,1,0,0,0,0,14,9,11,3,7,654,3,7,880,2,6,1612
0,2,0,0,0,0,0,0,11,3,7,807,3,7,1605,0,13,8
2,0,3,7,1513,3,2,325,11,0,0,0,0,0,0,2,1,234
3,1,0,14,47,3,7,1578,11,0,0,0,2,2,230,2,1,500
3,1,0,0,0,0,14,49,11,2,2,215,3,2,495,2,6,1753
0,2,0,0,0,0,0,0,11,3,2,465,3,7,1746,0,13,49
2,0,3,9,1187,3,7,1198,11,0,0,0,0,0,0,2,1,67
3,1,3,7,691,3,9,1241,11,0,0,0,2,2,66,2,6,1373
3,1,3,7,1517,3,7,720,11,2,2,60,3,7,1367,2,8,1416
3,1,0,14,7,3,7,1582,11,3,7,1240,3,9,1410,2,6,895
3,1,3,7,1529,0,14,7,11,3,9,1281,3,7,890,2,6,1757
0,2,3,3,1586,3,7,1595,11,3,7,817,3,7,1750,0,13,6
3,1,0,7,1245,3,3,1653,11,3,7,1587,0,14,7,2,6,1770
3,1,3,7,1271,0,7,1300,11,0,14,7,3,7,1763,2,2,1828
0,1,0,14,9,3,7,1327,11,3,7,1600,3,3,1821,0,6,1475
3,1,0,0,0,0,14,9,11,3,3,1652,0,7,1468,2,6,1502
0,2,0,0,0,0,0,0,11,0,7,1333,3,7,1495,0,13,8
2,0,3,9,1075,3,3,289,11,0,0,0,0,0,0,2,3,284
3,1,3,7,530,3,9,1124,11,0,0,0,2,4,280,2,2,464
3,1,0,7,1163,3,7,552,11,2,4,264,3,3,459,2,8,1299
3,1,3,15,648,0,7,1217,11,3,3,433,3,9,1293,2,6,727
0,1,0,14,9,3,15,676,11,3,9,1175,3,7,722,0,6,1392
3,1,0,0,0,0,14,9,11,3,7,671,0,7,1386,2,14,851
0,2,0,0,0,0,0,0,11,0,7,1259,3,15,846,0,13,8
2,0,3,7,693,3,8,740,11,0,0,0,0,0,0,2,14,194
3,1,3,7,1145,3,7,722,11,0,0,0,2,15,192,2,7,915
3,1,3,17,1511,3,7,1198,11,2,15,179,3,8,910,2,6,897
3,1,3,4,724,3,17,1576,11,3,8,836,3,7,892,2,6,1373
3,1,3,2,303,3,4,754,11,3,7,819,3,7,1367,2,16,1751
3,1,3,15,799,3,2,318,11,3,7,1240,3,17,1744,2,3,929
3,1,3,2,424,3,15,832,11,3,17,1582,3,4,924,2,1,493
3,1,3,2,1040,3,2,441,11,3,4,847,3,2,488,2,14,1007
3,1,0,14,9,3,2,1085,11,3,2,460,3,15,1002,2,1,616
3,1,0,0,0,0,14,9,11,3,15,920,3,2,611,2,1,1260
0,2,0,0,0,0,0,0,11,3,2,570,3,2,1254,0,13,8
1,0,3,15,839,3,5,1408,11,0,0,0,0,0,0,2,2,329
3,1,0,14,47,3,15,878,11,0,0,0,1,3,324,2,4,1583
3,1,0,0,0,0,14,49,11,1,3,307,3,5,1576,2,14,1053
0,2,0,0,0,0,0,0,11,3,5,1431,3,15,1048,0,13,49
2,0,3,7,520,0,14,7,11,0,0,0,0,0,0,2,6,119
0,2,0,14,7,3,7,542,11,0,0,0,2,7,117,0,13,6
3,1,3,13,533,0,14,7,11,2,7,108,0,14,7,2,6,717
0,2,3,7,1025,3,13,555,11,0,14,7,3,7,712,0,13,6
3,1,3,18,547,3,7,1070,11,3,7,663,0,14,7,2,12,730
3,1,3,13,734,3,18,570,11,0,14,7,3,13,725,2,6,1245
3,1,3,7,871,3,13,764,11,3,13,674,3,7,1239,2,17,745
3,1,3,2,310,3,7,911,11,3,7,1126,3,18,740,2,12,939
3,1,0,7,949,3,2,325,11,3,18,688,3,13,934,2,6,1086
3,1,3,2,1273,0,7,991,11,3,13,856,3,7,1081,2,1,500
0,1,3,7,1517,3,2,1329,11,3,7,985,3,2,495,0,6,1166
3,1,3,3,1586,3,7,1582,11,3,2,465,0,7,1160,2,1,1504
3,1,3,7,1551,3,3,1653,11,0,7,1054,3,2,1497,2,6,1757
3,1,3,13,1206,3,7,1618,11,3,2,1360,3,7,1750,2,2,1828
3,1,3,3,1166,3,13,1260,11,3,7,1587,3,3,1821,2,6,1793
3,1,3,7,1195,3,3,1220,11,3,3,1652,3,7,1786,2,12,1435
3,1,2,12,178,3,7,1249,11,3,7,1619,3,13,1428,2,2,1395
3,1,0,14,9,2,12,183,11,3,13,1297,3,3,1389,2,6,1424
2,0,0,0,0,0,14,9,11,3,3,1262,3,7,1418,2,11,280
0,2,0,0,0,0,0,0,11,3,7,1289,2,12,276,0,13,8
2,0,3,17,1296,3,7,623,11,0,0,0,0,0,0,2,9,375
3,1,3,9,792,3,17,1354,11,0,0,0,2,10,370,2,6,798
3,1,0,7,1246,3,9,825,11,2,10,349,3,7,793,2,16,1529
3,1,3,13,1206,0,7,1301,11,3,7,732,3,17,1522,2,8,1000
0,1,3,17,548,3,13,1260,11,3,17,1381,3,9,995,0,6,1476
3,1,0,14,47,3,17,571,11,3,9,913,0,7,1469,2,12,1435
3,1,0,0,0,0,14,49,11,0,7,1334,3,13,1428,2,16,746
0,2,0,0,0,0,0,0,11,3,13,1297,3,17,741,0,13,49
2,0,3,7,913,3,3,289,11,0,0,0,0,0,0,2,4,400
3,1,3,3,384,3,7,953,11,0,0,0,2,5,395,2,2,464
3,1,3,15,1550,3,3,401,11,2,5,372,3,3,459,2,6,1128
3,1,3,15,941,3,15,1617,11,3,3,433,3,7,1122,2,2,576
3,1,3,2,1109,3,15,983,11,3,7,1019,3,3,571,2,14,1792
3,1,3,10,1349,3,2,1160,11,3,3,535,3,15,1785,2,14,1158
3,1,3,7,549,3,10,1409,11,3,15,1618,3,15,1152,2,1,1335
3,1,0,14,44,3,7,572,11,3,15,1047,3,2,1329,2,9,1584
3,1,3,7,737,0,14,45,11,3,2,1206,3,10,1577,2,6,747
0,2,0,14,7,3,7,767,11,3,10,1432,3,7,742,0,13,45
3,1,3,7,1581,0,14,7,11,3,7,690,0,14,45,2,6,942
0,2,0,14,7,3,7,1648,11,0,14,40,3,7,937,0,13,6
3,1,0,2,811,0,14,7,11,3,7,858,0,14,7,2,6,1823
0,2,0,0,0,0,2,844,11,0,14,7,3,7,1816,0,13,6
0,1,0,0,0,0,0,0,11,3,7,1647,0,14,7,0,1,1019
2,0,3,17,1210,3,1,1003,11,0,0,0,0,0,0,2,14,56
3,1,3,13,734,3,17,1264,11,0,0,0,2,15,55,2,0,1178
3,1,3,7,848,3,13,764,11,2,15,49,3,1,1172,2,16,1439
3,1,3,13,640,3,7,887,11,3,1,1066,3,17,1432,2,12,939
3,1,3,7,381,3,13,667,11,3,17,1301,3,13,934,2,6,1062
3,1,3,4,724,3,7,398,11,3,13,856,3,7,1057,2,12,842
3,1,0,7,820,3,4,754,11,3,7,965,3,13,837,2,6,573
3,1,0,14,47,0,7,856,11,3,13,772,3,7,568,2,3,929
0,1,0,0,0,0,14,49,11,3,7,532,3,4,924,0,6,1031
0,2,0,0,0,0,0,0,11,3,4,847,0,7,1026,0,13,49
2,0,3,1,960,3,2,1160,11,0,0,0,0,0,0,2,14,57
3,1,0,14,9,3,1,1003,11,0,0,0,2,15,56,2,1,1335
3,1,0,0,0,0,14,9,11,2,15,50,3,2,1329,2,0,1178
0,2,0,0,0,0,0,0,11,3,2,1206,3,1,1172,0,13,8
2,0,3,2,1109,3,15,961,11,0,0,0,0,0,0,2,10,197
3,1,0,14,9,3,2,1160,11,0,0,0,2,11,195,2,14,1136
3,1,0,0,0,0,14,9,11,2,11,181,3,15,1130,2,1,1335
0,2,0,0,0,0,0,0,11,3,15,1026,3,2,1329,0,13,8
2,0,3,13,734,3,9,336,11,0,0,0,0,0,0,2,14,159
3,1,3,5,1348,3,13,764,11,0,0,0,2,15,157,2,8,511
3,1,0,7,1003,3,5,1408,11,2,15,146,3,9,506,2,12,939
3,1,3,15,1211,0,7,1047,11,3,9,474,3,13,934,2,4,1583
0,1,0,14,47,3,15,1265,11,3,13,856,3,5,1576,0,6,1222
3,1,0,0,0,0,14,49,11,3,5,1431,0,7,1216,2,14,1440
0,2,0,0,0,0,0,0,11,0,7,1107,3,15,1433,0,13,49
0,0,3,3,280,3,15,943,11,0,0,0,0,0,0,0,11,262
3,1,2,7,272,3,3,289,11,0,0,0,0,12,258,2,14,1118
3,1,2,7,237,2,7,280,11,0,12,242,3,15,1113,2,2,464
2,0,0,14,7,2,7,245,1,3,15,1011,3,3,459,2,6,450
2,0,2,12,256,0,14,7,6,3,3,433,2,7,445,2,6,381
0,2,0,14,7,2,12,264,11,2,7,419,2,7,376,0,13,6
2,0,0,7,142,0,14,7,11,2,7,355,0,14,7,2,11,410
0,2,3,4,724,0,7,146,11,0,14,7,2,12,405,0,13,6
0,0,3,13,734,3,4,754,11,2,12,382,0,14,7,0,6,216
3,1,3,9,1554,3,13,764,11,0,14,7,0,7,214,2,3,929
3,1,3,3,384,3,9,1621,11,0,7,199,3,4,924,2,12,939
3,1,3,7,848,3,3,401,11,3,4,847,3,13,934,2,8,1796
3,1,3,13,640,3,7,887,11,3,13,856,3,9,1789,2,2,576
3,1,2,7,191,3,13,667,11,3,9,1622,3,3,571,2,6,1062
3,1,0,14,7,2,7,196,11,3,3,535,3,7,1057,2,12,842
2,0,0,7,391,0,14,7,11,3,7,965,3,13,837,2,6,294
0,2,0,7,1003,0,7,408,11,3,13,772,2,7,290,0,13,6
0,1,3,15,903,0,7,1047,11,2,7,274,0,14,7,0,6,583
0,1,3,18,588,3,15,943,11,0,14,7,0,7,578,0,6,1222
3,1,3,13,1206,3,18,612,11,0,7,542,0,7,1216,2,14,1118
3,1,2,12,125,3,13,1260,11,0,7,1107,3,15,1113,2,17,787
3,1,0,14,9,2,12,129,11,3,15,1011,3,18,782,2,12,1435
2,0,0,0,0,0,14,9,11,3,18,723,3,13,1428,2,11,186
0,2,0,0,0,0,0,0,11,3,13,1297,2,12,184,0,13,8
2,0,3,3,1585,3,2,318,11,0,0,0,0,0,0,2,14,426
3,1,3,7,589,3,3,1652,11,0,0,0,2,15,421,2,1,493
3,1,3,13,1206,3,7,613,11,2,15,395,3,2,488,2,2,1827
3,1,3,17,985,3,13,1260,11,3,2,460,3,3,1820,2,6,788
3,1,0,7,1657,3,17,1029,11,3,3,1651,3,7,783,2,12,1435
3,1,2,7,176,0,7,1727,11,3,7,724,3,13,1428,2,16,1204
0,1,3,4,1052,2,7,181,11,3,13,1297,3,17,1198,0,6,1902
2,0,3,2,541,3,4,1099,11,3,17,1090,0,7,1895,2,6,276
3,1,3,3,280,3,2,564,11,0,7,1716,2,7,272,2,3,1274
3,1,0,7,104,3,3,289,11,2,7,256,3,4,1268,2,1,739
