J prop ini=cap cap=max simb=alpha prevW=null prevT=null prevCap=null nextW=?ue nextT=n nextCap=null prev2W=null prev2T=null prev2Cap=null next2W=a next2T=art next2Cap=min palpite=O
mais adv ini=ncap cap=min simb=alpha prevW=?precisam prevT=v-fin prevCap=null nextW=se nextT=pron-pers nextCap=min prev2W=n prev2T=n prev2Cap=min next2W=comportar next2T=v-inf next2Cap=min palpite=O
se pron-pers ini=ncap cap=min simb=alpha prevW=mais prevT=adv prevCap=min nextW=comportar nextT=v-inf nextCap=min prev2W=?precisam prev2T=v-fin prev2Cap=null next2W=com next2T=prp next2Cap=min palpite=O
comportar v-inf ini=ncap cap=min simb=alpha prevW=se prevT=pron-pers prevCap=min nextW=com nextT=prp nextCap=min prev2W=mais prev2T=adv prev2Cap=min next2W=naturalidade next2T=n next2Cap=min palpite=O
com prp ini=ncap cap=min simb=alpha prevW=comportar prevT=v-inf prevCap=min nextW=naturalidade nextT=n nextCap=min prev2W=se prev2T=pron-pers prev2Cap=min next2W=, next2T=punc next2Cap=null palpite=O
naturalidade n ini=ncap cap=min simb=alpha prevW=com prevT=prp prevCap=min nextW=, nextT=punc nextCap=null prev2W=comportar prev2T=v-inf prev2Cap=min next2W=porque next2T=conj-s next2Cap=min palpite=O
, punc ini=simb cap=null simb=null prevW=naturalidade prevT=n prevCap=min nextW=porque nextT=conj-s nextCap=min prev2W=com prev2T=prp prev2Cap=min next2W=em next2T=prp next2Cap=min palpite=O
porque conj-s ini=ncap cap=min simb=alpha prevW=, prevT=punc prevCap=null nextW=em nextT=prp nextCap=min prev2W=naturalidade prev2T=n prev2Cap=min next2W=ambiente next2T=n next2Cap=min palpite=O
em prp ini=ncap cap=min simb=alpha prevW=porque prevT=conj-s prevCap=min nextW=ambiente nextT=n nextCap=min prev2W=, prev2T=punc prev2Cap=null next2W=de next2T=prp next2Cap=min palpite=O
ambiente n ini=ncap cap=min simb=alpha prevW=em prevT=prp prevCap=min nextW=de nextT=prp nextCap=min prev2W=porque prev2T=conj-s prev2Cap=min next2W=trabalho next2T=n next2Cap=min palpite=O
de prp ini=ncap cap=min simb=alpha prevW=ambiente prevT=n prevCap=min nextW=trabalho nextT=n nextCap=min prev2W=em prev2T=prp prev2Cap=min next2W=, next2T=punc next2Cap=null palpite=O
trabalho n ini=ncap cap=min simb=alpha prevW=de prevT=prp prevCap=min nextW=, nextT=punc nextCap=null prev2W=ambiente prev2T=n prev2Cap=min next2W=rir next2T=v-inf next2Cap=min palpite=O
, punc ini=simb cap=null simb=null prevW=trabalho prevT=n prevCap=min nextW=rir nextT=v-inf nextCap=min prev2W=de prev2T=prp prev2Cap=min next2W=?esa next2T=n next2Cap=null palpite=O
rir v-inf ini=ncap cap=min simb=alpha prevW=, prevT=punc prevCap=null nextW=?esa nextT=n nextCap=null prev2W=trabalho prev2T=n prev2Cap=min next2W=, next2T=punc next2Cap=null palpite=O
?esa n ini=simb cap=null simb=null prevW=rir prevT=v-inf prevCap=min nextW=, nextT=punc nextCap=null prev2W=, prev2T=punc prev2Cap=null next2W=contar next2T=v-inf next2Cap=min palpite=O
, punc ini=simb cap=null simb=null prevW=?esa prevT=n prevCap=null nextW=contar nextT=v-inf nextCap=min prev2W=rir prev2T=v-inf prev2Cap=min next2W=hist next2T=n next2Cap=min palpite=O
contar v-inf ini=ncap cap=min simb=alpha prevW=, prevT=punc prevCap=null nextW=hist nextT=n nextCap=min prev2W=?esa prev2T=n prev2Cap=null next2W=?s next2T=n next2Cap=null palpite=O
hist n ini=ncap cap=min simb=alpha prevW=contar prevT=v-inf prevCap=min nextW=?s nextT=n nextCap=null prev2W=, prev2T=punc prev2Cap=null next2W=enquanto next2T=adv next2Cap=min palpite=O
?s n ini=simb cap=null simb=null prevW=hist prevT=n prevCap=min nextW=enquanto nextT=adv nextCap=min prev2W=contar prev2T=v-inf prev2Cap=min next2W=algu next2T=n next2Cap=min palpite=O
enquanto adv ini=ncap cap=min simb=alpha prevW=?s prevT=n prevCap=null nextW=algu nextT=n nextCap=min prev2W=hist prev2T=n prev2Cap=min next2W=?passa next2T=n next2Cap=null palpite=O
algu n ini=ncap cap=min simb=alpha prevW=enquanto prevT=adv prevCap=min nextW=?passa nextT=n nextCap=null prev2W=?s prev2T=n prev2Cap=null next2W=o next2T=art next2Cap=min palpite=O
?passa n ini=simb cap=null simb=null prevW=algu prevT=n prevCap=min nextW=o nextT=art nextCap=min prev2W=enquanto prev2T=adv prev2Cap=min next2W=prato next2T=n next2Cap=min palpite=O
o art ini=ncap cap=min simb=alpha prevW=?passa prevT=n prevCap=null nextW=prato nextT=n nextCap=min prev2W=algu prev2T=n prev2Cap=min next2W=mais next2T=adv next2Cap=min palpite=O
prato n ini=ncap cap=min simb=alpha prevW=o prevT=art prevCap=min nextW=mais nextT=adv nextCap=min prev2W=?passa prev2T=n prev2Cap=null next2W=pr next2T=n next2Cap=min palpite=O
mais adv ini=ncap cap=min simb=alpha prevW=prato prevT=n prevCap=min nextW=pr nextT=n nextCap=min prev2W=o prev2T=art prev2Cap=min next2W=?o next2T=n next2Cap=null palpite=O
pr n ini=ncap cap=min simb=alpha prevW=mais prevT=adv prevCap=min nextW=?o nextT=n nextCap=null prev2W=prato prev2T=n prev2Cap=min next2W=, next2T=punc next2Cap=null palpite=O
?o n ini=simb cap=null simb=null prevW=pr prevT=n prevCap=min nextW=, nextT=punc nextCap=null prev2W=mais prev2T=adv prev2Cap=min next2W=n next2T=n next2Cap=min palpite=O
, punc ini=simb cap=null simb=null prevW=?o prevT=n prevCap=null nextW=n nextT=n nextCap=min prev2W=pr prev2T=n prev2Cap=min next2W=?parece next2T=v-fin next2Cap=null palpite=O
n n ini=ncap cap=min simb=alpha prevW=, prevT=punc prevCap=null nextW=?parece nextT=v-fin nextCap=null prev2W=?o prev2T=n prev2Cap=null next2W=ser next2T=v-inf next2Cap=min palpite=O
?parece v-fin ini=simb cap=null simb=null prevW=n prevT=n prevCap=min nextW=ser nextT=v-inf nextCap=min prev2W=, prev2T=punc prev2Cap=null next2W=a next2T=art next2Cap=min palpite=O
ser v-inf ini=ncap cap=min simb=alpha prevW=?parece prevT=v-fin prevCap=null nextW=a nextT=art nextCap=min prev2W=n prev2T=n prev2Cap=min next2W=atitude next2T=n next2Cap=min palpite=O
a art ini=ncap cap=min simb=alpha prevW=ser prevT=v-inf prevCap=min nextW=atitude nextT=n nextCap=min prev2W=?parece prev2T=v-fin prev2Cap=null next2W=mais next2T=adv next2Cap=min palpite=O
atitude n ini=ncap cap=min simb=alpha prevW=a prevT=art prevCap=min nextW=mais nextT=adv nextCap=min prev2W=ser prev2T=v-inf prev2Cap=min next2W=apropriada next2T=v-pcp next2Cap=min palpite=O
mais adv ini=ncap cap=min simb=alpha prevW=atitude prevT=n prevCap=min nextW=apropriada nextT=v-pcp nextCap=min prev2W=a prev2T=art prev2Cap=min next2W=, next2T=punc next2Cap=null palpite=O
apropriada v-pcp ini=ncap cap=min simb=alpha prevW=mais prevT=adv prevCap=min nextW=, nextT=punc nextCap=null prev2W=atitude prev2T=n prev2Cap=min next2W=certo next2T=adj next2Cap=min palpite=O
, punc ini=simb cap=null simb=null prevW=apropriada prevT=v-pcp prevCap=min nextW=certo nextT=adj nextCap=min prev2W=mais prev2T=adv prev2Cap=min next2W=? next2T=punc next2Cap=null palpite=O
certo adj ini=ncap cap=min simb=alpha prevW=, prevT=punc prevCap=null nextW=? nextT=punc nextCap=null prev2W=apropriada prev2T=v-pcp prev2Cap=min next2W=?isso next2T=n next2Cap=null palpite=O
? punc ini=simb cap=null simb=null prevW=certo prevT=adj prevCap=min nextW=?isso nextT=n nextCap=null prev2W=, prev2T=punc prev2Cap=null next2W=que next2T=conj-s next2Cap=min palpite=O
?isso n ini=simb cap=null simb=null prevW=? prevT=punc prevCap=null nextW=que nextT=conj-s nextCap=min prev2W=certo prev2T=adj prev2Cap=min next2W=os next2T=art next2Cap=min palpite=O
que conj-s ini=ncap cap=min simb=alpha prevW=?isso prevT=n prevCap=null nextW=os nextT=art nextCap=min prev2W=? prev2T=punc prev2Cap=null next2W=filhos next2T=n next2Cap=min palpite=O
os art ini=ncap cap=min simb=alpha prevW=que prevT=conj-s prevCap=min nextW=filhos nextT=n nextCap=min prev2W=?isso prev2T=n prev2Cap=null next2W=tamb next2T=n next2Cap=min palpite=O
filhos n ini=ncap cap=min simb=alpha prevW=os prevT=art prevCap=min nextW=tamb nextT=n nextCap=min prev2W=que prev2T=conj-s prev2Cap=min next2W=?est next2T=n next2Cap=null palpite=O
tamb n ini=ncap cap=min simb=alpha prevW=filhos prevT=n prevCap=min nextW=?est nextT=n nextCap=null prev2W=os prev2T=art prev2Cap=min next2W=?aprendendo next2T=v-ger next2Cap=null palpite=O
?est n ini=simb cap=null simb=null prevW=tamb prevT=n prevCap=min nextW=?aprendendo nextT=v-ger nextCap=null prev2W=filhos prev2T=n prev2Cap=min next2W=: next2T=punc next2Cap=null palpite=O
?aprendendo v-ger ini=simb cap=null simb=null prevW=?est prevT=n prevCap=null nextW=: nextT=punc nextCap=null prev2W=tamb prev2T=n prev2Cap=min next2W=a next2T=art next2Cap=min palpite=O
: punc ini=simb cap=null simb=null prevW=?aprendendo prevT=v-ger prevCap=null nextW=a nextT=art nextCap=min prev2W=?est prev2T=n prev2Cap=null next2W=se next2T=pron-pers next2Cap=min palpite=O
a art ini=ncap cap=min simb=alpha prevW=: prevT=punc prevCap=null nextW=se nextT=pron-pers nextCap=min prev2W=?aprendendo prev2T=v-ger prev2Cap=null next2W=comportar next2T=v-inf next2Cap=min palpite=O
se pron-pers ini=ncap cap=min simb=alpha prevW=a prevT=art prevCap=min nextW=comportar nextT=v-inf nextCap=min prev2W=: prev2T=punc prev2Cap=null next2W=como next2T=adv next2Cap=min palpite=O
comportar v-inf ini=ncap cap=min simb=alpha prevW=se prevT=pron-pers prevCap=min nextW=como nextT=adv nextCap=min prev2W=a prev2T=art prev2Cap=min next2W=estranhos next2T=n next2Cap=min palpite=O
como adv ini=ncap cap=min simb=alpha prevW=comportar prevT=v-inf prevCap=min nextW=estranhos nextT=n nextCap=min prev2W=se prev2T=pron-pers prev2Cap=min next2W=na next2T=n next2Cap=min palpite=O
estranhos n ini=ncap cap=min simb=alpha prevW=como prevT=adv prevCap=min nextW=na nextT=n nextCap=min prev2W=comportar prev2T=v-inf prev2Cap=min next2W=pr next2T=n next2Cap=min palpite=O
na n ini=ncap cap=min simb=alpha prevW=estranhos prevT=n prevCap=min nextW=pr nextT=n nextCap=min prev2W=como prev2T=adv prev2Cap=min next2W=?a next2T=n next2Cap=null palpite=O
pr n ini=ncap cap=min simb=alpha prevW=na prevT=n prevCap=min nextW=?a nextT=n nextCap=null prev2W=estranhos prev2T=n prev2Cap=min next2W=casa next2T=n next2Cap=min palpite=O
?a n ini=simb cap=null simb=null prevW=pr prevT=n prevCap=min nextW=casa nextT=n nextCap=min prev2W=na prev2T=n prev2Cap=min next2W=. next2T=punc next2Cap=null palpite=O
casa n ini=ncap cap=min simb=alpha prevW=?a prevT=n prevCap=null nextW=. nextT=punc nextCap=null prev2W=pr prev2T=n prev2Cap=min next2W=null next2T=null next2Cap=null palpite=O
. punc ini=simb cap=null simb=null prevW=casa prevT=n prevCap=min nextW=null nextT=null nextCap=null prev2W=?a prev2T=n prev2Cap=null next2W=null next2T=null next2Cap=null palpite=O
