Quando adv ini=cap cap=maxmin simb=alpha prevW=null prevT=null prevCap=null nextW=s nextT=n nextCap=min prev2W=null prev2T=null prev2Cap=null next2W=?m next2T=n next2Cap=null palpite=O
esquerda n ini=ncap cap=min simb=alpha prevW=a prevT=art prevCap=min nextW=permanece nextT=v-fin nextCap=min prev2W=, prev2T=punc prev2Cap=null next2W=na next2T=n next2Cap=min palpite=O
permanece v-fin ini=ncap cap=min simb=alpha prevW=esquerda prevT=n prevCap=min nextW=na nextT=n nextCap=min prev2W=a prev2T=art prev2Cap=min next2W=posi next2T=v-fin next2Cap=min palpite=O
na n ini=ncap cap=min simb=alpha prevW=permanece prevT=v-fin prevCap=min nextW=posi nextT=v-fin nextCap=min prev2W=esquerda prev2T=n prev2Cap=min next2W=? next2T=punc next2Cap=null palpite=O
posi v-fin ini=ncap cap=min simb=alpha prevW=na prevT=n prevCap=min nextW=? nextT=punc nextCap=null prev2W=permanece prev2T=v-fin prev2Cap=min next2W=correta next2T=adj next2Cap=min palpite=O
? punc ini=simb cap=null simb=null prevW=posi prevT=v-fin prevCap=min nextW=correta nextT=adj nextCap=min prev2W=na prev2T=n prev2Cap=min next2W=, next2T=punc next2Cap=null palpite=O
correta adj ini=ncap cap=min simb=alpha prevW=? prevT=punc prevCap=null nextW=, nextT=punc nextCap=null prev2W=posi prev2T=v-fin prev2Cap=min next2W=isto next2T=pron-indp next2Cap=min palpite=O
, punc ini=simb cap=null simb=null prevW=correta prevT=adj prevCap=min nextW=isto nextT=pron-indp nextCap=min prev2W=? prev2T=punc prev2Cap=null next2W=?nunca next2T=n next2Cap=null palpite=O
isto pron-indp ini=ncap cap=min simb=alpha prevW=, prevT=punc prevCap=null nextW=?nunca nextT=n nextCap=null prev2W=correta prev2T=adj prev2Cap=min next2W=descansa next2T=n next2Cap=min palpite=O
?nunca n ini=simb cap=null simb=null prevW=isto prevT=pron-indp prevCap=min nextW=descansa nextT=n nextCap=min prev2W=, prev2T=punc prev2Cap=null next2W=no next2T=n next2Cap=min palpite=O
descansa n ini=ncap cap=min simb=alpha prevW=?nunca prevT=n prevCap=null nextW=no nextT=n nextCap=min prev2W=isto prev2T=pron-indp prev2Cap=min next2W=colo next2T=n next2Cap=min palpite=O
no n ini=ncap cap=min simb=alpha prevW=descansa prevT=n prevCap=min nextW=colo nextT=n nextCap=min prev2W=?nunca prev2T=n prev2Cap=null next2W=ou next2T=conj-c next2Cap=min palpite=O
colo n ini=ncap cap=min simb=alpha prevW=no prevT=n prevCap=min nextW=ou nextT=conj-c nextCap=min prev2W=descansa prev2T=n prev2Cap=min next2W=sobre next2T=prp next2Cap=min palpite=O
ou conj-c ini=ncap cap=min simb=alpha prevW=colo prevT=n prevCap=min nextW=sobre nextT=prp nextCap=min prev2W=no prev2T=n prev2Cap=min next2W=o next2T=art next2Cap=min palpite=O
sobre prp ini=ncap cap=min simb=alpha prevW=ou prevT=conj-c prevCap=min nextW=o nextT=art nextCap=min prev2W=colo prev2T=n prev2Cap=min next2W=joelho next2T=n next2Cap=min palpite=O
o art ini=ncap cap=min simb=alpha prevW=sobre prevT=prp prevCap=min nextW=joelho nextT=n nextCap=min prev2W=ou prev2T=conj-c prev2Cap=min next2W=. next2T=punc next2Cap=null palpite=O
joelho n ini=ncap cap=min simb=alpha prevW=o prevT=art prevCap=min nextW=. nextT=punc nextCap=null prev2W=sobre prev2T=prp prev2Cap=min next2W=? next2T=punc next2Cap=null palpite=O
. punc ini=simb cap=null simb=null prevW=joelho prevT=n prevCap=min nextW=? nextT=punc nextCap=null prev2W=o prev2T=art prev2Cap=min next2W=null next2T=null next2Cap=null palpite=O
? punc ini=simb cap=null simb=null prevW=. prevT=punc prevCap=null nextW=null nextT=null nextCap=null prev2W=joelho prev2T=n prev2Cap=min next2W=null next2T=null next2Cap=null palpite=O
