A art ini=cap cap=max simb=alpha prevW=null prevT=null prevCap=null nextW=seguir nextT=v-inf nextCap=min prev2W=null prev2T=null prev2Cap=null next2W=ao next2T=prp next2Cap=min palpite=O
dois num ini=ncap cap=min simb=alpha prevW=os prevT=art prevCap=min nextW=, nextT=punc nextCap=null prev2W=entre prev2T=prp prev2Cap=min next2W=fica next2T=v-fin next2Cap=min palpite=O
, punc ini=simb cap=null simb=null prevW=dois prevT=num prevCap=min nextW=fica nextT=v-fin nextCap=min prev2W=os prev2T=art prev2Cap=min next2W=o next2T=art next2Cap=min palpite=O
fica v-fin ini=ncap cap=min simb=alpha prevW=, prevT=punc prevCap=null nextW=o nextT=art nextCap=min prev2W=dois prev2T=num prev2Cap=min next2W=laranja next2T=n next2Cap=min palpite=O
o art ini=ncap cap=min simb=alpha prevW=fica prevT=v-fin prevCap=min nextW=laranja nextT=n nextCap=min prev2W=, prev2T=punc prev2Cap=null next2W=, next2T=punc next2Cap=null palpite=O
laranja n ini=ncap cap=min simb=alpha prevW=o prevT=art prevCap=min nextW=, nextT=punc nextCap=null prev2W=fica prev2T=v-fin prev2Cap=min next2W=cor next2T=n next2Cap=min palpite=O
, punc ini=simb cap=null simb=null prevW=laranja prevT=n prevCap=min nextW=cor nextT=n nextCap=min prev2W=o prev2T=art prev2Cap=min next2W=secundária next2T=adj next2Cap=min palpite=O
cor n ini=ncap cap=min simb=alpha prevW=, prevT=punc prevCap=null nextW=secundária nextT=adj nextCap=min prev2W=laranja prev2T=n prev2Cap=min next2W=, next2T=punc next2Cap=null palpite=O
secundária adj ini=ncap cap=min simb=alpha prevW=cor prevT=n prevCap=min nextW=, nextT=punc nextCap=null prev2W=, prev2T=punc prev2Cap=null next2W=filha next2T=n next2Cap=min palpite=O
, punc ini=simb cap=null simb=null prevW=secundária prevT=adj prevCap=min nextW=filha nextT=n nextCap=min prev2W=cor prev2T=n prev2Cap=min next2W=da next2T=v-pcp next2Cap=min palpite=O
filha n ini=ncap cap=min simb=alpha prevW=, prevT=punc prevCap=null nextW=da nextT=v-pcp nextCap=min prev2W=secundária prev2T=adj prev2Cap=min next2W=cálida next2T=n next2Cap=min palpite=O
da v-pcp ini=ncap cap=min simb=alpha prevW=filha prevT=n prevCap=min nextW=cálida nextT=n nextCap=min prev2W=, prev2T=punc prev2Cap=null next2W=união next2T=n next2Cap=min palpite=O
cálida n ini=ncap cap=min simb=alpha prevW=da prevT=v-pcp prevCap=min nextW=união nextT=n nextCap=min prev2W=filha prev2T=n prev2Cap=min next2W=dos next2T=n next2Cap=min palpite=O
união n ini=ncap cap=min simb=alpha prevW=cálida prevT=n prevCap=min nextW=dos nextT=n nextCap=min prev2W=da prev2T=v-pcp prev2Cap=min next2W=dois next2T=num next2Cap=min palpite=O
dos n ini=ncap cap=min simb=alpha prevW=união prevT=n prevCap=min nextW=dois nextT=num nextCap=min prev2W=cálida prev2T=n prev2Cap=min next2W=. next2T=punc next2Cap=null palpite=O
dois num ini=ncap cap=min simb=alpha prevW=dos prevT=n prevCap=min nextW=. nextT=punc nextCap=null prev2W=união prev2T=n prev2Cap=min next2W=null next2T=null next2Cap=null palpite=O
. punc ini=simb cap=null simb=null prevW=dois prevT=num prevCap=min nextW=null nextT=null nextCap=null prev2W=dos prev2T=n prev2Cap=min next2W=null next2T=null next2Cap=null palpite=O
